endpoint,model,N,positive_N,AUROC,AUROC_CI95_low,AUROC_CI95_high,cross_validated_AUROC,AUPRC,Brier_score,log_loss,status
future_condition_label_drift,AlphaMissense-only,214,96,0.6291,0.5619,0.7093,0.5921,0.5605,0.2434,0.6802,fit
future_condition_label_drift,CAB-only,214,96,0.8242,0.7651,0.8785,0.8008,0.7271,0.1611,0.4974,fit
future_condition_label_drift,gene-only,214,96,0.7924,0.7386,0.8483,0.7537,0.684,0.1757,0.5315,fit
future_condition_label_drift,gene+AlphaMissense,214,96,0.7952,0.731,0.8595,0.7559,0.706,0.1746,0.5291,fit
future_condition_label_drift,CAB+AlphaMissense,214,96,0.8375,0.7844,0.8908,0.7929,0.776,0.1599,0.4913,fit
future_condition_label_drift,gene+CAB+AlphaMissense,214,96,0.8497,0.794,0.9037,0.7968,0.7929,0.1529,0.4727,fit
cross_environment_drift,AlphaMissense-only,214,13,0.6364,0.4821,0.7688,0.5962,0.1523,0.2331,0.6567,fit
cross_environment_drift,CAB-only,214,13,0.778,0.6773,0.8739,0.5966,0.1896,0.2017,0.5948,fit
cross_environment_drift,gene-only,214,13,0.7354,0.5985,0.8831,0.3333,0.1862,0.1931,0.5781,fit
cross_environment_drift,gene+AlphaMissense,214,13,0.7956,0.6727,0.9075,0.3804,0.3665,0.183,0.5507,fit
cross_environment_drift,CAB+AlphaMissense,214,13,0.7738,0.6668,0.8747,0.5829,0.2298,0.1959,0.5777,fit
cross_environment_drift,gene+CAB+AlphaMissense,214,13,0.8358,0.7378,0.9343,0.5159,0.4714,0.1615,0.4929,fit
any_meaning_drift,AlphaMissense-only,214,123,0.5871,0.509,0.6651,0.5752,0.632,0.2488,0.6907,fit
any_meaning_drift,CAB-only,214,123,0.6998,0.6342,0.764,0.6585,0.7175,0.2174,0.6263,fit
any_meaning_drift,gene-only,214,123,0.6997,0.632,0.7595,0.6588,0.7005,0.211,0.6121,fit
any_meaning_drift,gene+AlphaMissense,214,123,0.6959,0.6203,0.7621,0.6529,0.7077,0.2109,0.6119,fit
any_meaning_drift,CAB+AlphaMissense,214,123,0.687,0.6178,0.7531,0.658,0.7229,0.217,0.625,fit
any_meaning_drift,gene+CAB+AlphaMissense,214,123,0.7629,0.6981,0.8224,0.6939,0.7857,0.1954,0.5785,fit
