endpoint,model,budget,AUPRC,precision_at_budget,recall_at_budget,lift_at_budget,number_needed_to_review,net_prevented_unsupported_reuses_per_100_reviewed
E1_crude_condition_label_drift,gene-only,0.01,0.5184968106366643,0.7425373134328358,0.020166193757600325,2.0109758513875695,1.3467336683417086,74.25373134328358
E1_crude_condition_label_drift,gene-only,0.05,0.5184968106366643,0.6970830216903515,0.0944466963923794,1.8878743164445322,1.434549356223176,69.70830216903515
E1_crude_condition_label_drift,gene-only,0.1,0.5184968106366643,0.6232697343808455,0.16882853668423187,1.6879695633692842,1.6044417767106842,62.32697343808455
E1_crude_condition_label_drift,gene-only,0.2,0.5184968106366643,0.5724976613657624,0.3100932306445075,1.5504661532225374,1.7467320261437909,57.24976613657624
E1_crude_condition_label_drift,gene-only,0.3,0.5184968106366643,0.5263157894736842,0.4276449128496149,1.4253941501504064,1.9000000000000001,52.63157894736842
E1_crude_condition_label_drift,regime-only,0.01,0.5396823017619377,0.6455223880597015,0.017531414673692743,1.7482352878896963,1.5491329479768785,64.55223880597015
E1_crude_condition_label_drift,regime-only,0.05,0.5396823017619377,0.6447270007479432,0.08735306039724361,1.7460811810892565,1.551044083526682,64.47270007479432
E1_crude_condition_label_drift,regime-only,0.1,0.5396823017619377,0.6397306397306397,0.17328739359546008,1.732549791933659,1.563157894736842,63.97306397306397
E1_crude_condition_label_drift,regime-only,0.2,0.5396823017619377,0.6486435921421889,0.35133765707336845,1.7566882853668422,1.5416786847418518,64.8643592142189
E1_crude_condition_label_drift,regime-only,0.3,0.5396823017619377,0.6159890246944375,0.5005066882853668,1.6682515894769803,1.623405547681717,61.59890246944375
E1_crude_condition_label_drift,gene+regime,0.01,0.660145758143529,0.835820895522388,0.022699635184434536,2.263611008597063,1.1964285714285714,83.5820895522388
E1_crude_condition_label_drift,gene+regime,0.05,0.660145758143529,0.8952879581151832,0.12130117551682205,2.42466261457522,1.1169590643274854,89.52879581151832
E1_crude_condition_label_drift,gene+regime,0.1,0.660145758143529,0.8413767302656191,0.22790839075800567,2.2786575918472507,1.1885282347710093,84.13767302656191
E1_crude_condition_label_drift,gene+regime,0.2,0.660145758143529,0.7292797006548176,0.3950141872719903,1.9750709363599515,1.371216008209338,72.92797006548176
E1_crude_condition_label_drift,gene+regime,0.3,0.660145758143529,0.6454227987029184,0.5244223753546818,1.7479655751252021,1.5493719806763286,64.54227987029184
E1_crude_condition_label_drift,gene+baseline-ontology+CAB,0.01,0.7292678267054498,0.996268656716418,0.02705715443858938,2.6981434789973924,1.00374531835206,99.6268656716418
E1_crude_condition_label_drift,gene+baseline-ontology+CAB,0.05,0.7292678267054498,0.9745699326851159,0.1320429671665991,2.6393779338274954,1.0260936300844206,97.4569932685116
E1_crude_condition_label_drift,gene+baseline-ontology+CAB,0.1,0.7292678267054498,0.9356528245417134,0.2534454803404945,2.5339807190795796,1.0687724910035985,93.56528245417134
E1_crude_condition_label_drift,gene+baseline-ontology+CAB,0.2,0.7292678267054498,0.7990645463049579,0.4328131333603567,2.1640656668017835,1.2514633575275111,79.90645463049579
