threshold_axis,threshold,unsupported_reuse,overrestriction,direct_use_allowance,true_portable_allowance,review_burden,frontier_status
direct-use threshold,0.0,0.0,0.6234611786716557,0.0,0.0,1.0,frontier
direct-use threshold,0.01,0.0,0.6234611786716557,0.0,0.0,1.0,frontier
direct-use threshold,0.02,0.0,0.6234611786716557,0.0,0.0,1.0,frontier
direct-use threshold,0.03,0.0,0.6234611786716557,0.0,0.0,1.0,frontier
direct-use threshold,0.04,0.0,0.6234611786716557,0.0,0.0,1.0,frontier
direct-use threshold,0.05,0.0,0.6234611786716557,0.0,0.0,1.0,frontier
direct-use threshold,0.06,0.0,0.6234611786716557,0.0,0.0,1.0,frontier
direct-use threshold,0.07,0.0,0.6234611786716557,0.0,0.0,1.0,frontier
direct-use threshold,0.08,0.0,0.6234611786716557,0.0,0.0,1.0,frontier
direct-use threshold,0.09,0.0,0.6234611786716557,0.0,0.0,1.0,frontier
direct-use threshold,0.1,3.7418147801683815e-05,0.6234237605238541,7.483629560336763e-05,6.0016804705317486e-05,0.9999251637043967,frontier
direct-use threshold,0.11,7.483629560336763e-05,0.6234237605238541,0.00011225444340505144,6.0016804705317486e-05,0.999887745556595,frontier
direct-use threshold,0.12,0.00037418147801683815,0.6224508886810103,0.0013844714686623012,0.0016204537270435723,0.9986155285313377,frontier
direct-use threshold,0.13,0.001234798877455566,0.6178858746492049,0.006810102899906454,0.008942503901092306,0.9931898971000935,frontier
direct-use threshold,0.14,0.0019083255378858747,0.6135453695042096,0.011824134705332086,0.015904453246909134,0.9881758652946679,frontier
direct-use threshold,0.15,0.0021328344246959777,0.6127221702525725,0.012871842843779234,0.01722482295042612,0.9871281571562208,frontier
direct-use threshold,0.16,0.004003741814780169,0.5992516370439663,0.028213283442469598,0.03883087264434042,0.9717867165575304,frontier
direct-use threshold,0.17,0.008568755846585594,0.5757904583723106,0.05623947614593078,0.07646140919457448,0.9437605238540693,frontier
direct-use threshold,0.18,0.012460243217960711,0.5538634237605239,0.0820579981290926,0.11163125675189053,0.9179420018709074,frontier
direct-use threshold,0.19,0.015902712815715623,0.5508699719363892,0.08849391955098222,0.11643260112831592,0.9115060804490178,frontier
direct-use threshold,0.2,0.017885874649204863,0.5417399438727784,0.09960710944808232,0.1310767014764134,0.9003928905519177,frontier
direct-use threshold,0.21,0.01960710944808232,0.5357156220767072,0.10735266604303087,0.1407394070339695,0.8926473339569692,frontier
direct-use threshold,0.22,0.021590271281571562,0.5260991580916745,0.11895229186155286,0.1561637258432361,0.8810477081384471,frontier
direct-use threshold,0.23,0.023685687558465857,0.5164078578110384,0.13073900841908326,0.17170807826191334,0.8692609915809167,frontier
direct-use threshold,0.24,0.034462114125350794,0.4677642656688494,0.19015902712815716,0.24972992437882607,0.8098409728718429,frontier
direct-use threshold,0.25,0.055603367633302155,0.41144995322731526,0.2676145930776427,0.3400552154603289,0.7323854069223573,frontier
direct-use threshold,0.26,0.05754911131898971,0.39704396632366695,0.2839663236669785,0.36316168527187614,0.7160336763330215,frontier
direct-use threshold,0.27,0.061627689429373245,0.391244153414406,0.293844714686623,0.37246429000120035,0.706155285313377,frontier
direct-use threshold,0.28,0.06492048643592142,0.378821328344247,0.3095603367633302,0.39238986916336577,0.6904396632366698,frontier
direct-use threshold,0.29,0.07180542563143125,0.37253507951356407,0.32273152478952294,0.4024726923538591,0.6772684752104771,frontier
direct-use threshold,0.3,0.08516370439663237,0.33605238540692234,0.37257249766136574,0.4609890769415436,0.6274275023386342,frontier
direct-use threshold,0.31,0.08725912067352666,0.3302151543498597,0.38050514499532273,0.4703516984755732,0.6194948550046773,frontier
direct-use threshold,0.32,0.09811038353601496,0.2852759588400374,0.4362956033676333,0.5424318809266595,0.5637043966323667,frontier
direct-use threshold,0.33,0.09900841908325538,0.28400374181478016,0.438465855940131,0.5444724522866402,0.561534144059869,frontier
direct-use threshold,0.34,0.09983161833489242,0.2817586529466791,0.441534144059869,0.5480734605689593,0.558465855940131,frontier
direct-use threshold,0.35000000000000003,0.1033489242282507,0.2791019644527596,0.44770813844714685,0.5523346537030368,0.5522918615528531,frontier
direct-use threshold,0.36,0.120710944808232,0.22162768942937325,0.5225444340505145,0.6445204657304046,0.4774555659494855,frontier
direct-use threshold,0.37,0.12419083255378859,0.21470533208606174,0.5329466791393827,0.6556235746008883,0.4670533208606174,frontier
direct-use threshold,0.38,0.1253133769878391,0.2124976613657624,0.5362768942937325,0.6591645660785019,0.4637231057062675,frontier
direct-use threshold,0.39,0.13279700654817586,0.21025257249766136,0.5460056127221703,0.6627655743608211,0.45399438727782976,frontier
direct-use threshold,0.4,0.1378110383536015,0.20583723105706267,0.5554349859681946,0.6698475573160485,0.4445650140318054,frontier
direct-use threshold,0.41000000000000003,0.14405986903648269,0.1997380729653882,0.5677829747427502,0.6796302964830152,0.43221702525724975,frontier
direct-use threshold,0.42,0.145444340505145,0.19812909260991582,0.570776426566885,0.6822110190853439,0.42922357343311507,frontier
direct-use threshold,0.43,0.15666978484565014,0.1813283442469598,0.5988026192703462,0.7091585643980315,0.4011973807296539,frontier
direct-use threshold,0.44,0.16026192703461178,0.17126286248830683,0.6124602432179607,0.7253030848637618,0.3875397567820393,frontier
direct-use threshold,0.45,0.16478952291861554,0.1574181478016838,0.6308325537885875,0.7475093026047294,0.3691674462114125,frontier
direct-use threshold,0.46,0.19360149672591206,0.10619270346117868,0.7108699719363891,0.829672308246309,0.2891300280636109,frontier
direct-use threshold,0.47000000000000003,0.19913938260056127,0.09743685687558466,0.7251637043966324,0.8437162405473533,0.27483629560336764,frontier
direct-use threshold,0.48,0.2090551917680075,0.08333021515434987,0.7491861552853134,0.866342575921258,0.2508138447146866,frontier
direct-use threshold,0.49,0.2586342376052385,0.0515622076707203,0.830533208606174,0.9172968431160725,0.169466791393826,frontier
direct-use threshold,0.5,0.2679139382600561,0.040374181478016836,0.851000935453695,0.9352418677229625,0.14899906454630496,frontier
direct-use threshold,0.51,0.2754349859681946,0.03401309635173059,0.8648830682881198,0.9454447245228664,0.13511693171188027,frontier
direct-use threshold,0.52,0.28336763330215153,0.03277829747427502,0.8740505144995323,0.9474252790781419,0.12594948550046772,frontier
direct-use threshold,0.53,0.29833489242282507,0.02862488306828812,0.8931711880261927,0.9540871444004321,0.1068288119738073,frontier
direct-use threshold,0.54,0.30304957904583724,0.028101028999064546,0.8984097287184284,0.9549273796663066,0.10159027128157157,frontier
direct-use threshold,0.55,0.31079513564078576,0.027427502338634238,0.9068288119738073,0.9560076821510023,0.0931711880261927,frontier
direct-use threshold,0.56,0.31528531337698784,0.026529466791393827,0.9122170252572498,0.9574480854639299,0.08778297474275024,frontier
