gold_standard,domain,operating_mode,features,purpose,N,unsupported_deterministic_reuse_rate,absolute_reduction_vs_ClinVar_baseline,relative_reduction_vs_ClinVar_baseline,direct_use_allowed_rate,true_portable_assertions_N,true_portable_allowed_direct_use_N,true_portable_allowed_direct_use_rate,false_restriction_N,false_restriction_rate,overrestriction_rate,nonportability_recall,direct_use_precision,direct_use_recall,specificity,F1_nonportability_detection
temporal_condition_label_drift,all,ClinVar-label-only baseline,ClinVar P/LP label only,counterfactual label-only direct reuse,26725,0.3692422825070159,0.0,0.0,1.0,16857,16857,1.0,0,0.0,0.0,0.0,0.6307577174929841,1.0,1.0,
temporal_condition_label_drift,all,CAB-Core,gene + baseline disease-model regime,temporal portability prediction and minimal routing,26725,0.024172123479887744,0.3450701590271282,0.934535873530604,0.08089803554724041,16857,1516,0.08993296553360622,15341,0.9100670344663938,0.5740318054256315,0.934535873530604,0.7012025901942646,0.08993296553360622,0.08993296553360622,0.5356800557637013
temporal_condition_label_drift,all,CAB-Conservative,full CAB routing flags + portability score + failure topology + repair/review flags,safety-first triage and contextual repair,26725,0.07457436856875585,0.2946679139382601,0.7980340494527767,0.27311506080449016,16857,5306,0.3147653793676218,11551,0.6852346206323783,0.43221702525724975,0.7980340494527767,0.7269488971091931,0.3147653793676218,0.3147653793676218,0.5376527616576774
cross_environment_drift,all,ClinVar-label-only baseline,ClinVar P/LP label only,counterfactual label-only direct reuse,26725,0.14454630495790458,0.0,0.0,1.0,22862,22862,1.0,0,0.0,0.0,0.0,0.8554536950420955,1.0,1.0,
cross_environment_drift,all,CAB-Core,gene + baseline disease-model regime,temporal portability prediction and minimal routing,26725,0.0016838166510757717,0.1428624883068288,0.9883510225213564,0.08089803554724041,22862,2117,0.09259907269705188,20745,0.9074009273029481,0.7762394761459308,0.9883510225213564,0.9791859389454209,0.09259907269705188,0.09259907269705188,0.2686273130232885
cross_environment_drift,all,CAB-Conservative,full CAB routing flags + portability score + failure topology + repair/review flags,safety-first triage and contextual repair,26725,0.027315247895229187,0.11723105706267539,0.8110276986797825,0.27311506080449016,22862,6569,0.28733269180299187,16293,0.7126673081970082,0.6096538821328344,0.8110276986797825,0.8999862994930813,0.28733269180299187,0.28733269180299187,0.26905405985658465
any_meaning_drift,all,ClinVar-label-only baseline,ClinVar P/LP label only,counterfactual label-only direct reuse,26725,0.386155285313377,0.0,0.0,1.0,16405,16405,1.0,0,0.0,0.0,0.0,0.613844714686623,1.0,1.0,
any_meaning_drift,all,CAB-Core,gene + baseline disease-model regime,temporal portability prediction and minimal routing,26725,0.025706267539756782,0.3604490177736202,0.9334302325581395,0.08089803554724041,16405,1475,0.08991161231331911,14930,0.9100883876866809,0.5586529466791393,0.9334302325581395,0.6822386679000925,0.08991161231331911,0.08991161231331911,0.5523034142705616
any_meaning_drift,all,CAB-Conservative,full CAB routing flags + portability score + failure topology + repair/review flags,safety-first triage and contextual repair,26725,0.08613657623947614,0.3000187090739009,0.7769379844961241,0.27311506080449016,16405,4997,0.304602255409936,11408,0.695397744590064,0.42686623012160896,0.7769379844961241,0.684614330730237,0.304602255409936,0.304602255409936,0.5390976938075708
conservative_composite_routing,all,ClinVar-label-only baseline,ClinVar P/LP label only,counterfactual label-only direct reuse,26725,0.8568755846585594,0.0,0.0,1.0,3825,3825,1.0,0,0.0,0.0,0.0,0.1431244153414406,1.0,1.0,
conservative_composite_routing,all,CAB-Core,gene + baseline disease-model regime,temporal portability prediction and minimal routing,26725,0.028288119738072964,0.8285874649204864,0.9669868995633187,0.08089803554724041,3825,1406,0.3675816993464052,2419,0.6324183006535947,0.09051449953227315,0.9669868995633187,0.6503237742830712,0.3675816993464052,0.3675816993464052,0.9331057876661821
conservative_composite_routing,all,CAB-Conservative,full CAB routing flags + portability score + failure topology + repair/review flags,safety-first triage and contextual repair,26725,0.1299906454630496,0.7268849391955098,0.848296943231441,0.27311506080449016,3825,3825,1.0,0,0.0,0.0,0.848296943231441,0.5240443896424167,1.0,1.0,0.9179227897746066
