false_portability_cost,overrestriction_cost,review_cost,recommended_threshold_axis,recommended_threshold,utility_loss,unsupported_reuse,overrestriction,review_burden,direct_use_allowance
1,1.0,0.1,allowed-risk threshold,0.66,0.29345930776426565,0.24101028999064547,0.035360149672591205,0.17088868101028998,0.82911131898971
1,1.0,0.25,allowed-risk threshold,0.66,0.3190926099158091,0.24101028999064547,0.035360149672591205,0.17088868101028998,0.82911131898971
1,1.0,0.5,allowed-risk threshold,0.73,0.35259120673526656,0.29328344246959775,0.011786716557530403,0.0950420954162769,0.9049579045837232
2,1.0,0.1,allowed-risk threshold,0.43,0.4649354536950421,0.13253507951356408,0.1595135640785781,0.40351730589335827,0.5964826941066417
2,1.0,0.25,allowed-risk threshold,0.43,0.5254630495790458,0.13253507951356408,0.1595135640785781,0.40351730589335827,0.5964826941066417
2,1.0,0.5,allowed-risk threshold,0.52,0.6005799812909262,0.19913938260056127,0.07573433115060804,0.25313376987839104,0.746866230121609
5,1.0,0.1,allowed-risk threshold,0.14,0.68688868101029,0.01608980355472404,0.5185406922357343,0.8789897100093546,0.12101028999064546
5,1.0,0.25,allowed-risk threshold,0.2,0.8119738072965388,0.04333021515434986,0.40961646398503276,0.7428250701590271,0.2571749298409729
5,1.0,0.5,allowed-risk threshold,0.24,0.9681010289990646,0.08194574368568756,0.27405051449953227,0.568643592142189,0.43135640785781104
10,1.0,0.1,direct-use threshold,0.0,0.7234611786716557,0.0,0.6234611786716557,1.0,0.0
10,1.0,0.25,allowed-risk threshold,0.08,0.8733582787652012,0.0002245088868101029,0.6216276894293733,0.9979420018709074,0.00205799812909261
10,1.0,0.5,allowed-risk threshold,0.14,1.118933582787652,0.01608980355472404,0.5185406922357343,0.8789897100093546,0.12101028999064546
20,1.0,0.1,direct-use threshold,0.0,0.7234611786716557,0.0,0.6234611786716557,1.0,0.0
20,1.0,0.25,direct-use threshold,0.0,0.8734611786716557,0.0,0.6234611786716557,1.0,0.0
20,1.0,0.5,direct-use threshold,0.0,1.1234611786716557,0.0,0.6234611786716557,1.0,0.0
