model,endpoint,review_threshold,selected_rate,net_benefit
gene+regime,E3_cross_environment_drift,0.01,1.0,0.14142359044136404
gene+regime,E3_cross_environment_drift,0.02,0.9785594013096351,0.13248926137339875
gene+regime,E3_cross_environment_drift,0.03,0.8846398503274088,0.1244728188016549
gene+regime,E3_cross_environment_drift,0.04,0.7252759588400374,0.11641253507951356
gene+regime,E3_cross_environment_drift,0.05,0.7040598690364827,0.11009600708975431
gene+regime,E3_cross_environment_drift,0.060000000000000005,0.6840785781103835,0.10334096292020778
gene+regime,E3_cross_environment_drift,0.06999999999999999,0.6177736202057998,0.09750042749228
gene+regime,E3_cross_environment_drift,0.08,0.5142376052385407,0.09348680196851997
gene+regime,E3_cross_environment_drift,0.09,0.49904583723105705,0.08929655938075022
gene+regime,E3_cross_environment_drift,0.09999999999999999,0.4934705332086062,0.08469805633510032
gene+regime,E3_cross_environment_drift,0.11,0.43113189897100096,0.07919109532168045
gene+regime,E3_cross_environment_drift,0.12,0.3915434985968195,0.07455225784505487
gene+regime,E3_cross_environment_drift,0.13,0.36220767072029936,0.07137834263410858
gene+regime,E3_cross_environment_drift,0.14,0.3547240411599626,0.06830117258032936
gene+regime,E3_cross_environment_drift,0.15000000000000002,0.34836295603367634,0.06539371595223682
gene+regime,E3_cross_environment_drift,0.16,0.3389710009354537,0.06229943427324157
gene+regime,E3_cross_environment_drift,0.17,0.3361646398503274,0.058684278742660065
gene+regime,E3_cross_environment_drift,0.18000000000000002,0.3299532273152479,0.05497547286043486
gene+regime,E3_cross_environment_drift,0.19,0.2764826941066417,0.05229717400593609
gene+regime,E3_cross_environment_drift,0.2,0.2066978484565014,0.05225444340505145
gene+regime,E3_cross_environment_drift,0.21000000000000002,0.1983536014967259,0.05090715326047057
gene+regime,E3_cross_environment_drift,0.22,0.19427502338634237,0.049447602600081554
gene+regime,E3_cross_environment_drift,0.23,0.19341440598690365,0.047532224557481816
gene+regime,E3_cross_environment_drift,0.24000000000000002,0.19337698783910195,0.04562453842745311
gene+regime,E3_cross_environment_drift,0.25,0.19318989710009354,0.0437168693483006
gene+regime,E3_cross_environment_drift,0.26,0.19296538821328343,0.04177584506864208
gene+regime,E3_cross_environment_drift,0.27,0.19274087932647335,0.03978779297000141
gene+regime,E3_cross_environment_drift,0.28,0.19240411599625817,0.037794408065689636
gene+regime,E3_cross_environment_drift,0.29000000000000004,0.19015902712815716,0.03495276617610244
gene+regime,E3_cross_environment_drift,0.3,0.18791393826005612,0.03198717092075371
gene+regime,E3_cross_environment_drift,0.31,0.18548175865294667,0.029193205081276007
gene+regime,E3_cross_environment_drift,0.32,0.17695042095416277,0.027112749683596546
gene+regime,E3_cross_environment_drift,0.33,0.17246024321796072,0.02552420311910978
gene+regime,E3_cross_environment_drift,0.34,0.16587464920486436,0.023402216741786427
gene+regime,E3_cross_environment_drift,0.35000000000000003,0.15012160898035548,0.022209109879830165
gene+regime,E3_cross_environment_drift,0.36000000000000004,0.14162768942937323,0.019550982226379784
gene+regime,E3_cross_environment_drift,0.37,0.11633302151543498,0.017442202325270613
gene+regime,E3_cross_environment_drift,0.38,0.10855004677268475,0.01639276984821509
gene+regime,E3_cross_environment_drift,0.39,0.10855004677268475,0.01488199481666641
gene+regime,E3_cross_environment_drift,0.4,0.10855004677268475,0.013320860617399434
gene+regime,E3_cross_environment_drift,0.41000000000000003,0.09579045837231057,0.01169475670276355
gene+regime,E3_cross_environment_drift,0.42000000000000004,0.042207670720299344,0.01388600367730073
gene+regime,E3_cross_environment_drift,0.43,0.042207670720299344,0.013389132325669179
gene+regime,E3_cross_environment_drift,0.44,0.042207670720299344,0.01287451556862221
gene+regime,E3_cross_environment_drift,0.45,0.042207670720299344,0.012341185474955354
gene+regime,E3_cross_environment_drift,0.46,0.042207670720299344,0.01178810241485639
gene+regime,E3_cross_environment_drift,0.47000000000000003,0.042207670720299344,0.011214148295885767
gene+regime,E3_cross_environment_drift,0.48000000000000004,0.042207670720299344,0.010618119018493199
gene+regime,E3_cross_environment_drift,0.49,0.042207670720299344,0.009998716043947982
gene+regime,E3_cross_environment_drift,0.5,0.04074836295603368,0.00894293732460243
gene+baseline-ontology+CAB,E3_cross_environment_drift,0.01,0.7277081384471469,0.14235980005858395
gene+baseline-ontology+CAB,E3_cross_environment_drift,0.02,0.6084190832553789,0.13637769420209617
gene+baseline-ontology+CAB,E3_cross_environment_drift,0.03,0.5422637979420019,0.1320143114771489
gene+baseline-ontology+CAB,E3_cross_environment_drift,0.04,0.4845650140318054,0.12901465544122231
gene+baseline-ontology+CAB,E3_cross_environment_drift,0.05,0.4466978484565014,0.12624095317808084
gene+baseline-ontology+CAB,E3_cross_environment_drift,0.060000000000000005,0.43259120673526663,0.12265748462472384
gene+baseline-ontology+CAB,E3_cross_environment_drift,0.06999999999999999,0.42319925163704397,0.11926732852530252
