analysis,endpoint,N,positive_rate,gene_plus_regime_AUROC,CAB_Balanced_unsupported_reuse,CAB_Strict_unsupported_reuse,direct_use_allowed_rate,review_queue_top10_enrichment,domain,AUROC_CI95_low,AUROC_CI95_high
micro_average_all_domains,condition_label_drift,26725,0.3692422825070159,0.7477641331134239,0.07457436856875585,0.024172123479887744,0.27311506080449016,2.2786575918472507,,,
domain_hereditary_cancer,condition_label_drift,20865,0.3643421998562186,0.744827936385745,0.08531032830098251,0.013850946561226936,0.30184519530313925,2.3264617020689204,hereditary_cancer,,
domain_cardiomyopathy,condition_label_drift,4918,0.3865392435949573,0.7396084645364851,0.03924359495729972,0.03924359495729972,0.12281415209434729,2.161141119564799,cardiomyopathy,,
domain_inherited_arrhythmia,condition_label_drift,942,0.3874734607218684,0.7643337052776525,0.021231422505307854,0.1740976645435244,0.42144373673036095,1.6028262436914202,inherited_arrhythmia,,
macro_average_equal_domain_weight,condition_label_drift,26725,0.3794516347243481,0.7495900353999608,0.04859511525453003,0.07573073535401702,0.28203436137594917,2.030143021775047,,,
domain_cluster_bootstrap,condition_label_drift,26725,,0.749402002809023,,,,,,0.7404348809126179,0.7643337052776525
micro_average_all_domains,cross_environment_drift,26725,0.14454630495790458,0.7890089413791441,0.027315247895229187,0.0016838166510757717,0.27311506080449016,3.240398152239841,,,
domain_hereditary_cancer,cross_environment_drift,20865,0.1618979151689432,0.7939006318590454,0.03402827701893123,0.0011981787682722263,0.30184519530313925,2.9596223258078216,hereditary_cancer,,
domain_cardiomyopathy,cross_environment_drift,4918,0.0986173241154941,0.6187534447594308,0.004066693777958519,0.004066693777958519,0.12281415209434729,1.6900343642611682,cardiomyopathy,,
domain_inherited_arrhythmia,cross_environment_drift,942,0.0,,0.0,0.0,0.42144373673036095,,inherited_arrhythmia,,
macro_average_equal_domain_weight,cross_environment_drift,26725,0.08683841309481244,0.7063270383092382,0.01269832359896325,0.0017549575154102487,0.28203436137594917,2.324828345034495,,,
domain_cluster_bootstrap,cross_environment_drift,26725,,0.7028927797386575,,,,,,0.6187534447594308,0.7939006318590454
micro_average_all_domains,any_meaning_drift,26725,0.386155285313377,0.7411223003480222,0.08613657623947614,0.025706267539756782,0.27311506080449016,2.1139455856294784,,,
domain_hereditary_cancer,any_meaning_drift,20865,0.3819793913251857,0.7354305866853357,0.09954469206805655,0.015240833932422718,0.30184519530313925,2.1651022431386506,hereditary_cancer,,
domain_cardiomyopathy,any_meaning_drift,4918,0.4036193574623831,0.7321304258584458,0.04168361122407483,0.04168361122407483,0.12281415209434729,2.1301161147631626,cardiomyopathy,,
domain_inherited_arrhythmia,any_meaning_drift,942,0.3874734607218684,0.770561002825194,0.021231422505307854,0.1740976645435244,0.42144373673036095,1.7114924297043979,inherited_arrhythmia,,
macro_average_equal_domain_weight,any_meaning_drift,26725,0.3910240698364791,0.7460406717896585,0.054153241932479744,0.07700736990000732,0.28203436137594917,2.0022369292020703,,,
domain_cluster_bootstrap,any_meaning_drift,26725,,0.7457698005617606,,,,,,0.7326529513227032,0.770561002825194
