model,endpoint,risk_decile,N,mean_predicted_risk,observed_drift_rate,lift_vs_baseline
gene+regime,E3_cross_environment_drift,1,2920,0.02039242277722581,0.02363013698630137,0.15752442278845202
gene+regime,E3_cross_environment_drift,2,2475,0.03377669993368516,0.04727272727272727,0.31513186240050794
gene+regime,E3_cross_environment_drift,3,2639,0.0405282457707978,0.034861690034103825,0.23239677379930776
gene+regime,E3_cross_environment_drift,4,2749,0.06521519352994114,0.06693343033830484,0.44619504260194487
gene+regime,E3_cross_environment_drift,5,2592,0.07554812172839964,0.06674382716049383,0.4449311002405083
gene+regime,E3_cross_environment_drift,6,2759,0.10809305448257489,0.12722000724900326,0.8480804923246725
gene+regime,E3_cross_environment_drift,7,2600,0.1531459153925388,0.1426923076923077,0.9512227296275688
gene+regime,E3_cross_environment_drift,8,2662,0.1954708995171286,0.17054845980465816,1.1369188297030406
gene+regime,E3_cross_environment_drift,9,2769,0.3452974648145194,0.3481401227880101,2.320789419184228
gene+regime,E3_cross_environment_drift,10,2560,0.47395532269797797,0.48203125,3.213341271202295
gene+baseline-ontology+CAB,E3_cross_environment_drift,1,2711,0.002606271262319433,0.007008483954260421,0.046720312715791905
gene+baseline-ontology+CAB,E3_cross_environment_drift,2,2801,0.005180943623822891,0.006069260978222063,0.040459216673231393
gene+baseline-ontology+CAB,E3_cross_environment_drift,3,2509,0.008802826596186258,0.00876843363889996,0.058452578947269004
gene+baseline-ontology+CAB,E3_cross_environment_drift,4,2672,0.017258843188275395,0.021706586826347306,0.14470155473537835
gene+baseline-ontology+CAB,E3_cross_environment_drift,5,2676,0.02953224546627973,0.021300448430493273,0.14199413427411642
gene+baseline-ontology+CAB,E3_cross_environment_drift,6,2678,0.055773463156059286,0.04854368932038835,0.3236044143395806
gene+baseline-ontology+CAB,E3_cross_environment_drift,7,2663,0.16089479748289207,0.1809988734509951,1.2065839094482027
gene+baseline-ontology+CAB,E3_cross_environment_drift,8,2717,0.267657359018729,0.26831063673168937,1.788626033089149
gene+baseline-ontology+CAB,E3_cross_environment_drift,9,2625,0.3664048080167747,0.33790476190476193,2.252557935122166
gene+baseline-ontology+CAB,E3_cross_environment_drift,10,2673,0.5895501153760195,0.6015712682379349,4.010225029598107
full baseline no follow-up ontology,E3_cross_environment_drift,1,2699,0.002443461339196843,0.00963319748054835,0.06421731171555367
full baseline no follow-up ontology,E3_cross_environment_drift,2,2689,0.005206495880847338,0.005950167348456675,0.03966530865240824
full baseline no follow-up ontology,E3_cross_environment_drift,3,2636,0.008108198222350418,0.006449165402124431,0.04299175489443138
full baseline no follow-up ontology,E3_cross_environment_drift,4,2704,0.01812958103839705,0.02514792899408284,0.16764240518006085
full baseline no follow-up ontology,E3_cross_environment_drift,5,2647,0.028407960532927354,0.021533811862485833,0.1435497934709239
full baseline no follow-up ontology,E3_cross_environment_drift,6,2679,0.054701427860346326,0.039567002612915264,0.26376356817913704
full baseline no follow-up ontology,E3_cross_environment_drift,7,2666,0.1588851290628198,0.18604651162790697,1.2402327321665787
full baseline no follow-up ontology,E3_cross_environment_drift,8,2660,0.26149703305790656,0.2669172932330827,1.7793376556882354
full baseline no follow-up ontology,E3_cross_environment_drift,9,2691,0.37198764686132246,0.3277591973244147,2.1849250557483124
full baseline no follow-up ontology,E3_cross_environment_drift,10,2654,0.5938738415414643,0.6145440844009042,4.096705077479213
