endpoint,model,N,positive_N,positive_rate,AUROC,AUPRC,Brier,precision_at_top10,recall_at_top10,lift_at_top10,number_needed_to_review_top10
E1_crude_condition_label_drift,gene-only,26725,9868,0.3692422825070159,0.6453539121938447,0.5184968106366643,0.21686877798020368,0.6232697343808455,0.16882853668423187,1.6879695633692842,1.6044417767106842
E1_crude_condition_label_drift,gene+regime,26725,9868,0.3692422825070159,0.7477641331134239,0.660145758143529,0.18689856109286018,0.8413767302656191,0.22790839075800567,2.2786575918472507,1.1885282347710093
E1_crude_condition_label_drift,gene+ontology+CAB,26725,9868,0.3692422825070159,0.97836269089527,0.969260856823613,0.05227870942694265,0.9988776655443322,0.2705715443858938,2.705209324247292,1.001123595505618
E2_normalized_condition_label_drift,gene-only,26725,5789,0.2166136576239476,0.7755187432016487,0.471142355430321,0.14013872627135981,0.5372240927796483,0.24805665918120573,2.480102587586129,1.8614206128133706
E2_normalized_condition_label_drift,gene+regime,26725,5789,0.2166136576239476,0.7928757107430964,0.5293425122890488,0.13420451740408462,0.6236438458660681,0.2879599239937813,2.879060594363564,1.603479304139172
E2_normalized_condition_label_drift,gene+ontology+CAB,26725,5789,0.2166136576239476,0.9929186295896854,0.9793900468002245,0.02488515857117349,0.9996258885147774,0.46156503713940233,4.614786987486168,1.000374251497006
E3_cross_environment_drift,gene-only,26725,4009,0.1500093545369504,0.7736288323977513,0.3613141826408856,0.10859802722973769,0.4481855592966704,0.29882763781491645,2.9877174038921224,2.231218697829716
E3_cross_environment_drift,gene+regime,26725,4009,0.1500093545369504,0.783922189337066,0.41324172349150035,0.10616894132667903,0.4784885895997007,0.3190321776003991,3.189725007995012,2.089913995308835
E3_cross_environment_drift,gene+ontology+CAB,26725,4009,0.1500093545369504,0.9987568031798151,0.998940024645994,0.0003526707695192532,1.0,0.6667498129209279,6.666250935395361,1.0
E4_proxy_adjudicated_true_shift,gene-only,26725,4003,0.14978484565014033,0.7729313370574569,0.35773997808863084,0.1085468087389353,0.448559670781893,0.2995253559830127,2.994693280451184,2.2293577981651373
E4_proxy_adjudicated_true_shift,gene+regime,26725,4003,0.14978484565014033,0.7829688753591483,0.4122006686972699,0.10609379849194495,0.4781144781144781,0.31926055458406194,3.192008350639377,2.091549295774648
E4_proxy_adjudicated_true_shift,gene+ontology+CAB,26725,4003,0.14978484565014033,0.9999655108593737,0.9996186797404205,5.395361523141579e-05,0.9996258885147774,0.6674993754683987,6.673745158770278,1.000374251497006
