sensitivity,endpoint,model,N,positive_N,AUROC,AUROC_CI95_low,AUROC_CI95_high,cross_validated_AUROC,AUPRC,Brier_score,log_loss,status
all_cancer,condition_label_change,M1_gene_only,20865,7602,0.6353,0.6269,0.6427,0.6325,0.4702,0.2357,0.6638,fit
all_cancer,condition_label_change,M2_baseline_regime_only,20865,7602,0.6467,0.6391,0.6528,0.6404,0.5179,0.2285,0.6507,fit
all_cancer,condition_label_change,M3_ClinVar_metadata_only,20865,7602,0.695,0.6879,0.7024,0.6934,0.5649,0.2184,0.6306,fit
all_cancer,condition_label_change,M4_gene_plus_baseline_regime,20865,7602,0.6951,0.687,0.7033,0.6929,0.592,0.2143,0.6192,fit
all_cancer,condition_label_change,M5_gene_plus_baseline_regime_plus_metadata,20865,7602,0.7499,0.7437,0.756,0.7475,0.6701,0.1975,0.5806,fit
all_cancer,cross_environment_drift,M1_gene_only,20865,3378,0.7907,0.7829,0.7989,0.7875,0.376,0.1875,0.5535,fit
all_cancer,cross_environment_drift,M2_baseline_regime_only,20865,3378,0.7636,0.7549,0.7714,0.7623,0.3663,0.2006,0.576,fit
all_cancer,cross_environment_drift,M3_ClinVar_metadata_only,20865,3378,0.7392,0.7314,0.7452,0.7364,0.2929,0.2117,0.5853,fit
all_cancer,cross_environment_drift,M4_gene_plus_baseline_regime,20865,3378,0.8732,0.868,0.8777,0.8704,0.5613,0.1494,0.4519,fit
all_cancer,cross_environment_drift,M5_gene_plus_baseline_regime_plus_metadata,20865,3378,0.8893,0.8844,0.893,0.8877,0.5791,0.1416,0.4276,fit
all_cancer,any_meaning_drift,M1_gene_only,20865,7970,0.6306,0.6215,0.6384,0.6273,0.4836,0.2365,0.6652,fit
all_cancer,any_meaning_drift,M2_baseline_regime_only,20865,7970,0.6402,0.6325,0.6473,0.6363,0.5262,0.2311,0.6558,fit
all_cancer,any_meaning_drift,M3_ClinVar_metadata_only,20865,7970,0.681,0.6741,0.6885,0.6818,0.5667,0.2221,0.6379,fit
all_cancer,any_meaning_drift,M4_gene_plus_baseline_regime,20865,7970,0.6897,0.6827,0.6963,0.6867,0.5999,0.2169,0.6243,fit
all_cancer,any_meaning_drift,M5_gene_plus_baseline_regime_plus_metadata,20865,7970,0.7354,0.7289,0.742,0.7335,0.6652,0.2031,0.5926,fit
exclude_BRCA1_BRCA2,condition_label_change,M1_gene_only,12738,5252,0.6266,0.6183,0.6369,0.6221,0.5037,0.2371,0.6661,fit
exclude_BRCA1_BRCA2,condition_label_change,M2_baseline_regime_only,12738,5252,0.6924,0.6832,0.7015,0.6902,0.6107,0.2146,0.6211,fit
exclude_BRCA1_BRCA2,condition_label_change,M3_ClinVar_metadata_only,12738,5252,0.6981,0.6875,0.7052,0.6964,0.6213,0.2125,0.6181,fit
exclude_BRCA1_BRCA2,condition_label_change,M4_gene_plus_baseline_regime,12738,5252,0.724,0.716,0.7333,0.7224,0.6619,0.2058,0.6005,fit
exclude_BRCA1_BRCA2,condition_label_change,M5_gene_plus_baseline_regime_plus_metadata,12738,5252,0.7572,0.7477,0.7657,0.7545,0.7137,0.1952,0.5758,fit
exclude_BRCA1_BRCA2,cross_environment_drift,M1_gene_only,12738,3092,0.7099,0.7009,0.7205,0.7057,0.3939,0.2157,0.6208,fit
exclude_BRCA1_BRCA2,cross_environment_drift,M2_baseline_regime_only,12738,3092,0.7881,0.7806,0.7972,0.7824,0.4732,0.2037,0.5767,fit
exclude_BRCA1_BRCA2,cross_environment_drift,M3_ClinVar_metadata_only,12738,3092,0.6774,0.6668,0.6874,0.6689,0.3573,0.2237,0.6268,fit
exclude_BRCA1_BRCA2,cross_environment_drift,M4_gene_plus_baseline_regime,12738,3092,0.8234,0.8153,0.8312,0.8213,0.58,0.1741,0.4997,fit
exclude_BRCA1_BRCA2,cross_environment_drift,M5_gene_plus_baseline_regime_plus_metadata,12738,3092,0.8432,0.8367,0.8501,0.8408,0.6169,0.1656,0.4789,fit
exclude_BRCA1_BRCA2,any_meaning_drift,M1_gene_only,12738,5575,0.6071,0.5992,0.6173,0.6035,0.5152,0.2401,0.6723,fit
exclude_BRCA1_BRCA2,any_meaning_drift,M2_baseline_regime_only,12738,5575,0.6759,0.6655,0.6859,0.6713,0.6147,0.2206,0.6335,fit
exclude_BRCA1_BRCA2,any_meaning_drift,M3_ClinVar_metadata_only,12738,5575,0.683,0.6725,0.6904,0.6785,0.6281,0.2182,0.6297,fit
exclude_BRCA1_BRCA2,any_meaning_drift,M4_gene_plus_baseline_regime,12738,5575,0.7112,0.7023,0.7191,0.7073,0.6673,0.2112,0.6115,fit
exclude_BRCA1_BRCA2,any_meaning_drift,M5_gene_plus_baseline_regime_plus_metadata,12738,5575,0.7305,0.7215,0.7386,0.7273,0.7051,0.2049,0.5969,fit
exclude_top2_genes_by_assertion_count,condition_label_change,M1_gene_only,12738,5252,0.6266,0.6183,0.6369,0.6221,0.5037,0.2371,0.6661,fit
exclude_top2_genes_by_assertion_count,condition_label_change,M2_baseline_regime_only,12738,5252,0.6924,0.6832,0.7015,0.6902,0.6107,0.2146,0.6211,fit
exclude_top2_genes_by_assertion_count,condition_label_change,M3_ClinVar_metadata_only,12738,5252,0.6981,0.6875,0.7052,0.6964,0.6213,0.2125,0.6181,fit
exclude_top2_genes_by_assertion_count,condition_label_change,M4_gene_plus_baseline_regime,12738,5252,0.724,0.716,0.7333,0.7224,0.6619,0.2058,0.6005,fit
exclude_top2_genes_by_assertion_count,condition_label_change,M5_gene_plus_baseline_regime_plus_metadata,12738,5252,0.7572,0.7477,0.7657,0.7545,0.7137,0.1952,0.5758,fit
exclude_top2_genes_by_assertion_count,cross_environment_drift,M1_gene_only,12738,3092,0.7099,0.7009,0.7205,0.7057,0.3939,0.2157,0.6208,fit
exclude_top2_genes_by_assertion_count,cross_environment_drift,M2_baseline_regime_only,12738,3092,0.7881,0.7806,0.7972,0.7824,0.4732,0.2037,0.5767,fit
exclude_top2_genes_by_assertion_count,cross_environment_drift,M3_ClinVar_metadata_only,12738,3092,0.6774,0.6668,0.6874,0.6689,0.3573,0.2237,0.6268,fit
exclude_top2_genes_by_assertion_count,cross_environment_drift,M4_gene_plus_baseline_regime,12738,3092,0.8234,0.8153,0.8312,0.8213,0.58,0.1741,0.4997,fit
exclude_top2_genes_by_assertion_count,cross_environment_drift,M5_gene_plus_baseline_regime_plus_metadata,12738,3092,0.8432,0.8367,0.8501,0.8408,0.6169,0.1656,0.4789,fit
exclude_top2_genes_by_assertion_count,any_meaning_drift,M1_gene_only,12738,5575,0.6071,0.5992,0.6173,0.6035,0.5152,0.2401,0.6723,fit
exclude_top2_genes_by_assertion_count,any_meaning_drift,M2_baseline_regime_only,12738,5575,0.6759,0.6655,0.6859,0.6713,0.6147,0.2206,0.6335,fit
exclude_top2_genes_by_assertion_count,any_meaning_drift,M3_ClinVar_metadata_only,12738,5575,0.683,0.6725,0.6904,0.6785,0.6281,0.2182,0.6297,fit
