regime,regime_label,domain,present,N,dominant_genes,dominant_environments,drift_signature,routing_signature
phenotype_anchored_monogenic,Phenotype-anchored monogenic,cardiomyopathy,yes,756,MYBPC3:389|MYH7:122|BAG3:68|DSC2:36|DSG2:34|TNNI3:23,Hypertrophic cardiomyopathy:193|Cardiovascular phenotype:46|Hypertrophic cardiomyopathy|Cardiovascular phenotype:35|Cardiomyopathy:34,condition=0.210;cross_env=0.058;any_meaning=0.235,direct=0.542;contextual_repair=0.458;disease_review=0.458;penetrance_review=0.000
phenotype_anchored_monogenic,Phenotype-anchored monogenic,hereditary_cancer,no,0,,,,
phenotype_anchored_monogenic,Phenotype-anchored monogenic,inherited_arrhythmia,no,0,,,,
trigger_dependent_latent,Trigger-dependent latent,cardiomyopathy,no,0,,,,
trigger_dependent_latent,Trigger-dependent latent,hereditary_cancer,no,0,,,,
trigger_dependent_latent,Trigger-dependent latent,inherited_arrhythmia,yes,45,CASQ2:18|TRDN:16|KCNQ1:6|KCNH2:4|CACNA1C:1,Catecholaminergic polymorphic ventricular tachycardia 1:12|Cardiac arrhythmia:7|Cardiovascular phenotype|Catecholaminergic polymorphic ventricular tachycardia 1:5|Cardiac arrhythmia|Cardiovascular phenotype:3,condition=0.644;cross_env=0.000;any_meaning=0.644,direct=0.267;contextual_repair=0.733;disease_review=0.222;penetrance_review=0.000
pleiotropic_collision,Pleiotropic collision,cardiomyopathy,no,0,,,,
pleiotropic_collision,Pleiotropic collision,hereditary_cancer,no,0,,,,
pleiotropic_collision,Pleiotropic collision,inherited_arrhythmia,yes,11,RYR2:3|CACNA1C:3|ANK2:2|HCN4:2|SCN5A:1,Inborn genetic diseases:2|Left ventricular noncompaction cardiomyopathy:2|Syncope:1|Arrhythmogenic right ventricular cardiomyopathy:1,condition=0.091;cross_env=0.000;any_meaning=0.091,direct=0.455;contextual_repair=0.545;disease_review=0.182;penetrance_review=0.000
syndrome_organ_boundary,Syndrome-organ boundary,cardiomyopathy,yes,21,LMNA:9|MYH7:4|TTN:3|DES:2|ACTN2:2|PKP2:1,"Hutchinson-Gilford syndrome:2|Myopathy, congenital, with structured cores and z-line abnormalities:2|Desmin-related myofibrillar myopathy|Neurogenic scapuloperoneal syndrome, Kaeser type;Desmin-related myofibrillar myopathy;Dilated cardiomyopathy 1I:1|Hutchinson-Gilford progeria syndrome, atypical|Hutchinson-Gilford syndrome:1",condition=0.381;cross_env=0.238;any_meaning=0.429,direct=0.095;contextual_repair=0.905;disease_review=0.905;penetrance_review=0.000
syndrome_organ_boundary,Syndrome-organ boundary,hereditary_cancer,no,0,,,,
syndrome_organ_boundary,Syndrome-organ boundary,inherited_arrhythmia,yes,387,KCNH2:166|KCNQ1:104|SCN5A:34|CACNA1C:19|KCNJ2:15|CALM2:11,Long QT syndrome:155|Long QT syndrome 2:28|Long QT syndrome 1:23|Brugada syndrome 1:14,condition=0.183;cross_env=0.000;any_meaning=0.183,direct=0.589;contextual_repair=0.411;disease_review=0.158;penetrance_review=0.000
structural_functional_overlap,Structural-functional overlap,cardiomyopathy,yes,2041,TTN:1380|DSP:293|LMNA:161|PKP2:135|FLNC:44|DES:28,Dilated cardiomyopathy 1G;Autosomal recessive limb-girdle muscular dystrophy type 2J:537|Cardiovascular phenotype:212|Primary dilated cardiomyopathy:97|Dilated cardiomyopathy 1G;Autosomal recessive limb-girdle muscular dystrophy type 2J|Cardiovascular phenotype:90,condition=0.269;cross_env=0.070;any_meaning=0.278,direct=0.000;contextual_repair=1.000;disease_review=1.000;penetrance_review=0.000
structural_functional_overlap,Structural-functional overlap,hereditary_cancer,no,0,,,,
structural_functional_overlap,Structural-functional overlap,inherited_arrhythmia,yes,86,RYR2:81|SCN5A:5,Catecholaminergic polymorphic ventricular tachycardia 1:70|Cardiac arrhythmia:4|Catecholaminergic polymorphic ventricular tachycardia 1|Cardiovascular phenotype:3|Catecholaminergic polymorphic ventricular tachycardia:2,condition=0.686;cross_env=0.000;any_meaning=0.686,direct=0.070;contextual_repair=0.930;disease_review=0.872;penetrance_review=0.000
genotype_first_absent_phenotype,Genotype-first absent phenotype,cardiomyopathy,no,0,,,,
genotype_first_absent_phenotype,Genotype-first absent phenotype,hereditary_cancer,no,0,,,,
genotype_first_absent_phenotype,Genotype-first absent phenotype,inherited_arrhythmia,no,0,,,,
modifier_penetrance_boundary,Modifier/penetrance boundary,cardiomyopathy,no,0,,,,
modifier_penetrance_boundary,Modifier/penetrance boundary,hereditary_cancer,yes,16125,BRCA2:3207|BRCA1:2838|ATM:1773|MSH2:1445|MLH1:1204|MSH6:1108,"Hereditary cancer-predisposing syndrome:2724|Breast-ovarian cancer, familial, susceptibility to, 1:1009|Hereditary breast ovarian cancer syndrome:948|Breast-ovarian cancer, familial, susceptibility to, 2:870",condition=0.266;cross_env=0.146;any_meaning=0.287,direct=0.328;contextual_repair=0.783;disease_review=0.668;penetrance_review=0.157
modifier_penetrance_boundary,Modifier/penetrance boundary,inherited_arrhythmia,no,0,,,,
nonspecific_underresolved,Nonspecific/underresolved,cardiomyopathy,yes,2100,TTN:757|MYBPC3:328|FLNC:213|LMNA:185|MYH7:149|DSP:141,not provided:437|not provided|Dilated cardiomyopathy 1G;Autosomal recessive limb-girdle muscular dystrophy type 2J:85|not provided|Hypertrophic cardiomyopathy:41|Dilated cardiomyopathy 1G;Autosomal recessive limb-girdle muscular dystrophy type 2J|not provided:40,condition=0.564;cross_env=0.140;any_meaning=0.586,direct=0.091;contextual_repair=0.909;disease_review=0.909;penetrance_review=0.000
nonspecific_underresolved,Nonspecific/underresolved,hereditary_cancer,yes,4740,BRCA2:1208|BRCA1:874|ATM:464|MSH6:329|APC:297|MSH2:291,"not provided|Hereditary cancer-predisposing syndrome|Familial adenomatous polyposis 1:76|not provided|Hereditary cancer-predisposing syndrome:60|Breast-ovarian cancer, familial, susceptibility to, 1|Hereditary breast ovarian cancer syndrome|Hereditary cancer-predisposing syndrome|not provided:56|Breast-ovarian cancer, familial, susceptibility to, 1|Hereditary cancer-predisposing syndrome|Hereditary breast ovarian cancer syndrome|not provided:53",condition=0.700;cross_env=0.218;any_meaning=0.706,direct=0.214;contextual_repair=0.872;disease_review=0.776;penetrance_review=0.098
nonspecific_underresolved,Nonspecific/underresolved,inherited_arrhythmia,yes,413,SCN5A:150|KCNH2:121|KCNQ1:52|RYR2:27|CACNA1C:16|ANK2:12,not provided:179|Cardiovascular phenotype:57|not provided|Long QT syndrome:24|Cardiovascular phenotype|not provided:14,condition=0.496;cross_env=0.000;any_meaning=0.496,direct=0.354;contextual_repair=0.646;disease_review=0.470;penetrance_review=0.000
