GeneSymbol,cab_domain_gene_set,clinvar_rows,unique_variation_ids,plp_or_pathogenic_label_rows,unique_condition_labels,top_condition_labels,review_status_top
ACTC1,cardiomyopathy,1772,888,130,251,Hypertrophic cardiomyopathy 11;Dilated cardiomyopathy 1R;Atrial septal defect 5 || not provided || Cardiomyopathy || Atrial septal defect 5;Hypertrophic cardiomyopathy 11;Dilated cardiomyopathy 1R || Dilated cardiomyopathy 1R;Atrial septal defect 5;Hypertrophic cardiomyopathy 11,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || no assertion criteria provided || reviewed by expert panel"
DSC2,cardiomyopathy,4196,2103,638,303,Arrhythmogenic right ventricular dysplasia 11 || Cardiomyopathy || Familial isolated arrhythmogenic right ventricular dysplasia || not provided || Cardiovascular phenotype,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || - || no assertion criteria provided"
DSG2,cardiomyopathy,4588,2300,746,420,Arrhythmogenic right ventricular dysplasia 10 || Cardiomyopathy || Cardiovascular phenotype || Arrhythmogenic right ventricular cardiomyopathy || not provided,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || - || no assertion criteria provided"
DSP,cardiomyopathy,12255,6137,3158,1103,Arrhythmogenic cardiomyopathy with wooly hair and keratoderma;Arrhythmogenic right ventricular dysplasia 8 || Arrhythmogenic right ventricular dysplasia 8;Arrhythmogenic cardiomyopathy with wooly hair and keratoderma || Cardiomyopathy || Cardiovascular phenotype || Arrhythmogenic cardiomyopathy with wooly hair and keratoderma,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || no assertion criteria provided || -"
FLNC,cardiomyopathy,12430,6224,2239,874,Hypertrophic cardiomyopathy 26;Myofibrillar myopathy 5;Distal myopathy with posterior leg and anterior hand involvement;not provided || Cardiovascular phenotype || not provided || Myofibrillar myopathy 5;Distal myopathy with posterior leg and anterior hand involvement;Hypertrophic cardiomyopathy 26;not provided || not provided;Myofibrillar myopathy 5;Distal myopathy with posterior leg and anterior hand involvement;Hypertrophic cardiomyopathy 26,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || no assertion criteria provided || -"
JUP,cardiomyopathy,3021,1512,395,228,Naxos disease;Arrhythmogenic right ventricular dysplasia 12 || Arrhythmogenic right ventricular dysplasia 12;Naxos disease || Cardiovascular phenotype || Naxos disease;Arrhythmogenic right ventricular dysplasia 12|Cardiovascular phenotype || Arrhythmogenic right ventricular dysplasia 12;Naxos disease|Cardiovascular phenotype,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || - || no assertion criteria provided"
MYBPC3,cardiomyopathy,9356,4702,2940,735,Hypertrophic cardiomyopathy || Cardiomyopathy || Cardiovascular phenotype || not provided || Cardiomyopathy|Hypertrophic cardiomyopathy,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || no assertion criteria provided || reviewed by expert panel"
MYH7,cardiomyopathy,11643,5837,1904,854,Hypertrophic cardiomyopathy || Cardiomyopathy || not provided || Hypertrophic cardiomyopathy|Cardiomyopathy || Cardiovascular phenotype,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || reviewed by expert panel || no assertion criteria provided"
MYL2,cardiomyopathy,1305,655,136,172,Hypertrophic cardiomyopathy 10 || not provided || Cardiomyopathy || Hypertrophic cardiomyopathy || Cardiovascular phenotype,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || no assertion criteria provided || no classification provided"
MYL3,cardiomyopathy,1009,505,70,123,Hypertrophic cardiomyopathy || Cardiomyopathy || not provided || Cardiovascular phenotype || Hypertrophic cardiomyopathy|Cardiomyopathy,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || reviewed by expert panel || no assertion criteria provided"
PKP2,cardiomyopathy,4698,2373,1148,366,Arrhythmogenic right ventricular dysplasia 9 || Cardiomyopathy || Cardiovascular phenotype || Arrhythmogenic right ventricular cardiomyopathy || not provided,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || - || no assertion criteria provided"
TNNI3,cardiomyopathy,1708,860,313,188,Hypertrophic cardiomyopathy || not provided || Cardiomyopathy || Cardiovascular phenotype || Cardiomyopathy|Hypertrophic cardiomyopathy,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || no assertion criteria provided || reviewed by expert panel"
TNNT2,cardiomyopathy,2300,1152,356,394,"Cardiomyopathy || not provided || Hypertrophic cardiomyopathy 2;Dilated cardiomyopathy 1D;Cardiomyopathy, familial restrictive, 3 || Dilated cardiomyopathy 1D;Hypertrophic cardiomyopathy 2;Cardiomyopathy, familial restrictive, 3 || Dilated cardiomyopathy 1D;Cardiomyopathy, familial restrictive, 3;Hypertrophic cardiomyopathy 2","criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || no assertion criteria provided || -"
TPM1,cardiomyopathy,2152,1079,282,209,Hypertrophic cardiomyopathy || not provided || Cardiomyopathy || Cardiovascular phenotype || not specified,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || no assertion criteria provided || -"
TTN,cardiomyopathy,79180,39643,19896,3611,Dilated cardiomyopathy 1G;Autosomal recessive limb-girdle muscular dystrophy type 2J || Autosomal recessive limb-girdle muscular dystrophy type 2J;Dilated cardiomyopathy 1G || not provided || Cardiovascular phenotype || not specified,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || no assertion criteria provided || -"
