source_path,rows,columns_found,has_assertion_id,has_variation_id,has_VariationID,numeric_variation_id_rows,candidate_strength
data\processed\cab_cross_environment_drift.csv,942,variation_id,False,True,False,942,medium
data\processed\cab_decision_challenge_primary_actions.csv,26725,assertion_id,True,False,False,0,weak
data\processed\cab_decision_challenge_tasks.csv,26725,assertion_id,True,False,False,0,weak
data\processed\cab_portability_benchmark_index.csv,3,,False,False,False,0,weak
data\processed\cab_portability_index_baseline_only.csv,942,assertion_id,True,False,False,0,weak
data\processed\cab_predictive_operational_framework.csv,942,variation_id,False,True,False,942,medium
data\processed\cab_routing_operating_modes_final.csv,80175,assertion_id,True,False,False,0,weak
data\processed\cancer_assertion_master.csv,20865,assertion_id|variation_id,True,True,False,20865,strong
data\processed\cancer_baseline_portability_regimes.csv,20865,assertion_id|variation_id,True,True,False,20865,strong
data\processed\cancer_condition_environment_map.csv,20865,assertion_id|variation_id,True,True,False,20865,strong
data\processed\cancer_temporal_alignment.csv,20865,assertion_id|variation_id,True,True,False,20865,strong
data\processed\cardiomyopathy_baseline_only_regimes.csv,4918,assertion_id|variation_id,True,True,False,4918,strong
data\processed\cardiomyopathy_portability_score_baseline_only.csv,4918,assertion_id|variation_id,True,True,False,4918,strong
data\processed\cardiomyopathy_temporal_endpoints_v2.csv,4918,assertion_id|variation_id,True,True,False,4918,strong
data\processed\clinvar_snapshot_baseline_202301.csv,3255919,VariationID|AlleleID,False,False,True,3255919,medium
data\processed\clinvar_snapshot_followup_202604.csv,8909090,VariationID|AlleleID,False,False,True,8909090,medium
benchmark\cardiomyopathy\baseline_assertions.csv,4918,assertion_id|variation_id,True,True,False,0,weak
benchmark\hereditary_cancer\baseline_assertions.csv,20865,assertion_id|variation_id,True,True,False,0,weak
benchmark\inherited_arrhythmia\baseline_assertions.csv,942,assertion_id|variation_id,True,True,False,0,weak
