source,label_or_record,count_or_size,CAB_PRF_use
PhysioNet ECG-arrhythmia ConditionNames_SNOMED-CT.csv,1AVB | 1 degree atrioventricular block | 270492004,,phenotype/rhythm label vocabulary comparator only; no genotype-linked CAB validation
PhysioNet ECG-arrhythmia ConditionNames_SNOMED-CT.csv,2AVB | 2 degree atrioventricular block | 195042002,,phenotype/rhythm label vocabulary comparator only; no genotype-linked CAB validation
PhysioNet ECG-arrhythmia ConditionNames_SNOMED-CT.csv,2AVB1 | 2 degree atrioventricular block(Type one) | 54016002,,phenotype/rhythm label vocabulary comparator only; no genotype-linked CAB validation
PhysioNet ECG-arrhythmia ConditionNames_SNOMED-CT.csv,2AVB2 | 2 degree atrioventricular block(Type two) | 28189009,,phenotype/rhythm label vocabulary comparator only; no genotype-linked CAB validation
PhysioNet ECG-arrhythmia ConditionNames_SNOMED-CT.csv,3AVB | 3 degree atrioventricular block | 27885002,,phenotype/rhythm label vocabulary comparator only; no genotype-linked CAB validation
PhysioNet ECG-arrhythmia ConditionNames_SNOMED-CT.csv,ABI | atrial bigeminy | 251173003,,phenotype/rhythm label vocabulary comparator only; no genotype-linked CAB validation
PhysioNet ECG-arrhythmia ConditionNames_SNOMED-CT.csv,ALS | Axis left shift | 39732003,,phenotype/rhythm label vocabulary comparator only; no genotype-linked CAB validation
PhysioNet ECG-arrhythmia ConditionNames_SNOMED-CT.csv,APB | atrial premature beats | 284470004,,phenotype/rhythm label vocabulary comparator only; no genotype-linked CAB validation
PhysioNet ECG-arrhythmia ConditionNames_SNOMED-CT.csv,AQW | abnormal Q wave | 164917005,,phenotype/rhythm label vocabulary comparator only; no genotype-linked CAB validation
PhysioNet ECG-arrhythmia ConditionNames_SNOMED-CT.csv,ARS | Axis right shift | 47665007,,phenotype/rhythm label vocabulary comparator only; no genotype-linked CAB validation
PhysioNet ECG-arrhythmia ConditionNames_SNOMED-CT.csv,AVB | atrioventricular block | 233917008,,phenotype/rhythm label vocabulary comparator only; no genotype-linked CAB validation
PhysioNet ECG-arrhythmia ConditionNames_SNOMED-CT.csv,CCR | countercolockwise rotation | 251199005,,phenotype/rhythm label vocabulary comparator only; no genotype-linked CAB validation
PhysioNet ECG-arrhythmia ConditionNames_SNOMED-CT.csv,CR | colockwise rotation | 251198002,,phenotype/rhythm label vocabulary comparator only; no genotype-linked CAB validation
PhysioNet ECG-arrhythmia ConditionNames_SNOMED-CT.csv,ERV | Early repolarization of the ventricles | 428417006,,phenotype/rhythm label vocabulary comparator only; no genotype-linked CAB validation
PhysioNet ECG-arrhythmia ConditionNames_SNOMED-CT.csv,FQRS | fQRS Wave | 164942001,,phenotype/rhythm label vocabulary comparator only; no genotype-linked CAB validation
PhysioNet ECG-arrhythmia ConditionNames_SNOMED-CT.csv,IDC | Interior differences conduction | 698252002,,phenotype/rhythm label vocabulary comparator only; no genotype-linked CAB validation
PhysioNet ECG-arrhythmia ConditionNames_SNOMED-CT.csv,IVB | Intraventricular block | 698252002,,phenotype/rhythm label vocabulary comparator only; no genotype-linked CAB validation
PhysioNet ECG-arrhythmia ConditionNames_SNOMED-CT.csv,JEB | junctional escape beat | 426995002,,phenotype/rhythm label vocabulary comparator only; no genotype-linked CAB validation
PhysioNet ECG-arrhythmia ConditionNames_SNOMED-CT.csv,JPT | junctional premature beat | 251164006,,phenotype/rhythm label vocabulary comparator only; no genotype-linked CAB validation
PhysioNet ECG-arrhythmia ConditionNames_SNOMED-CT.csv,LBBB | left bundle branch block | 164909002,,phenotype/rhythm label vocabulary comparator only; no genotype-linked CAB validation
PhysioNet ECG-arrhythmia ConditionNames_SNOMED-CT.csv,LBBBB | left back bundle branch block | 164909002,,phenotype/rhythm label vocabulary comparator only; no genotype-linked CAB validation
PhysioNet ECG-arrhythmia ConditionNames_SNOMED-CT.csv,LFBBB | left front bundle branch block | 164909002,,phenotype/rhythm label vocabulary comparator only; no genotype-linked CAB validation
PhysioNet ECG-arrhythmia ConditionNames_SNOMED-CT.csv,LVH | left ventricle hypertrophy | 164873001,,phenotype/rhythm label vocabulary comparator only; no genotype-linked CAB validation
PhysioNet ECG-arrhythmia ConditionNames_SNOMED-CT.csv,LVQRSAL | lower voltage QRS in all lead | 251146004,,phenotype/rhythm label vocabulary comparator only; no genotype-linked CAB validation
PhysioNet ECG-arrhythmia ConditionNames_SNOMED-CT.csv,LVQRSCL | lower voltage QRS in chest lead | 251148003,,phenotype/rhythm label vocabulary comparator only; no genotype-linked CAB validation
