source,left_out_origin,comparison,baseline_model,augmented_model,remaining_origins,delta_AUROC,delta_AUPRC,delta_Brier,delta_precision@top10%,delta_recall@top10%,delta_top10%_enrichment
rolling_origin_predictor_repair_package,origin_2017_2018_12m,primary_gene_only_to_gene_all_regimes,gene-only,gene+all-regimes,10,0.15068189999999998,0.0409076,-0.0009766000000000004,0.04735389999999999,0.14538869999999998,1.4535555
rolling_origin_predictor_repair_package,origin_2018_2019_12m,primary_gene_only_to_gene_all_regimes,gene-only,gene+all-regimes,10,0.13954229999999995,0.039833400000000005,-0.0008653,0.045886199999999995,0.1390139,1.3898142
rolling_origin_predictor_repair_package,origin_2019_2020_12m,primary_gene_only_to_gene_all_regimes,gene-only,gene+all-regimes,10,0.13518819999999998,0.039012500000000006,-0.0009164000000000002,0.04493489999999999,0.13172520000000001,1.3169756000000001
rolling_origin_predictor_repair_package,origin_2020_2021_12m,primary_gene_only_to_gene_all_regimes,gene-only,gene+all-regimes,10,0.1339076,0.0371554,-0.0009048000000000001,0.0424368,0.1342038,1.3417304
rolling_origin_predictor_repair_package,origin_2020_2023_36m,primary_gene_only_to_gene_all_regimes,gene-only,gene+all-regimes,10,0.1335969,0.031010799999999998,-0.0008627000000000003,0.0338638,0.1292738,1.2924408
rolling_origin_predictor_repair_package,origin_2021_2022_12m,primary_gene_only_to_gene_all_regimes,gene-only,gene+all-regimes,10,0.13933559999999998,0.0315896,-0.0009146000000000001,0.0454136,0.1372811,1.3725089000000001
rolling_origin_predictor_repair_package,origin_2022_2023_12m,primary_gene_only_to_gene_all_regimes,gene-only,gene+all-regimes,10,0.1417516,0.0402435,-0.0009080999999999999,0.0489343,0.1509503,1.5091514000000001
rolling_origin_predictor_repair_package,origin_2022_2024_24m,primary_gene_only_to_gene_all_regimes,gene-only,gene+all-regimes,10,0.1357502,0.0369749,-0.0008204999999999997,0.046581399999999995,0.14427640000000003,1.4424350000000001
rolling_origin_predictor_repair_package,origin_2023_2024_12m,primary_gene_only_to_gene_all_regimes,gene-only,gene+all-regimes,10,0.1392691,0.0363304,-0.0008565999999999997,0.0384746,0.12225090000000001,1.2221971000000003
rolling_origin_predictor_repair_package,origin_2024_2025_12m,primary_gene_only_to_gene_all_regimes,gene-only,gene+all-regimes,10,0.1336446,0.0383088,-0.0008827999999999999,0.044477199999999995,0.13092120000000002,1.3089033
rolling_origin_predictor_repair_package,origin_2025_2026_4m,primary_gene_only_to_gene_all_regimes,gene-only,gene+all-regimes,10,0.139012,0.0363251,-0.0008955999999999999,0.03579029999999999,0.09067670000000001,0.9065798
rolling_origin_predictor_repair_package,origin_2017_2018_12m,regime_only_vs_gene_only,gene-only,all-regimes-only,10,0.13434729999999998,0.15069150000000003,-0.0009130000000000009,0.0350008,0.1017683,1.0174607999999998
rolling_origin_predictor_repair_package,origin_2018_2019_12m,regime_only_vs_gene_only,gene-only,all-regimes-only,10,0.11543189999999999,0.1459565,-0.00045950000000000054,0.0325982,0.09278410000000001,0.9276486000000002
rolling_origin_predictor_repair_package,origin_2019_2020_12m,regime_only_vs_gene_only,gene-only,all-regimes-only,10,0.11755069999999998,0.1438587,-0.0005429000000000007,0.030942599999999997,0.0823881,0.8237407000000001
rolling_origin_predictor_repair_package,origin_2020_2021_12m,regime_only_vs_gene_only,gene-only,all-regimes-only,10,0.1172164,0.1422171,-0.00048270000000000084,0.030493400000000004,0.08974620000000003,0.8972795000000001
rolling_origin_predictor_repair_package,origin_2020_2023_36m,regime_only_vs_gene_only,gene-only,all-regimes-only,10,0.11715669999999997,0.13187120000000002,-0.0003753000000000003,0.022694699999999998,0.0835903,0.8357341000000001
rolling_origin_predictor_repair_package,origin_2021_2022_12m,regime_only_vs_gene_only,gene-only,all-regimes-only,10,0.12491959999999998,0.1573153,-0.0006029000000000006,0.0321109,0.09089230000000001,0.908747
rolling_origin_predictor_repair_package,origin_2022_2023_12m,regime_only_vs_gene_only,gene-only,all-regimes-only,10,0.12778799999999998,0.1477158,-0.0005761000000000006,0.035097699999999996,0.10228110000000001,1.0225941
rolling_origin_predictor_repair_package,origin_2022_2024_24m,regime_only_vs_gene_only,gene-only,all-regimes-only,10,0.118063,0.139243,-0.00035680000000000054,0.0321566,0.09448540000000001,0.9446632000000001
rolling_origin_predictor_repair_package,origin_2023_2024_12m,regime_only_vs_gene_only,gene-only,all-regimes-only,10,0.12617779999999998,0.14115570000000002,-0.00047280000000000065,0.0249547,0.07431930000000002,0.7430160000000001
rolling_origin_predictor_repair_package,origin_2024_2025_12m,regime_only_vs_gene_only,gene-only,all-regimes-only,10,0.11584839999999999,0.1399761,-0.0005429000000000007,0.030458699999999995,0.08148730000000001,0.8147007000000002
rolling_origin_predictor_repair_package,origin_2025_2026_4m,regime_only_vs_gene_only,gene-only,all-regimes-only,10,0.12476019999999996,0.14735910000000002,-0.0005551000000000004,0.028292699999999997,0.07207360000000002,0.7206033000000002
rolling_origin_predictor_repair_package,origin_2017_2018_12m,full_baseline_vs_gene_all_regimes,gene+all-regimes,full-baseline-predictor,10,0.029322900000000006,-0.0125942,5.9400000000000075e-05,-0.000717799999999999,-0.013127500000000004,-0.1311941
rolling_origin_predictor_repair_package,origin_2018_2019_12m,full_baseline_vs_gene_all_regimes,gene+all-regimes,full-baseline-predictor,10,0.017209400000000007,-0.014494200000000002,6.969999999999997e-05,-0.003312699999999999,-0.024084000000000005,-0.24074270000000003
rolling_origin_predictor_repair_package,origin_2019_2020_12m,full_baseline_vs_gene_all_regimes,gene+all-regimes,full-baseline-predictor,10,0.02498340000000001,-0.013032500000000002,5.070000000000005e-05,-0.001134099999999999,-0.014925100000000002,-0.14916239999999997
rolling_origin_predictor_repair_package,origin_2020_2021_12m,full_baseline_vs_gene_all_regimes,gene+all-regimes,full-baseline-predictor,10,0.024742300000000016,-0.0142534,6.299999999999951e-05,-0.0012375999999999997,-0.014590300000000006,-0.14581650000000002
rolling_origin_predictor_repair_package,origin_2020_2023_36m,full_baseline_vs_gene_all_regimes,gene+all-regimes,full-baseline-predictor,10,0.02518220000000001,-0.012483499999999998,5.450000000000073e-05,-0.0018459999999999991,-0.01502340000000001,-0.15014599999999997
rolling_origin_predictor_repair_package,origin_2021_2022_12m,full_baseline_vs_gene_all_regimes,gene+all-regimes,full-baseline-predictor,10,0.02645390000000001,-0.004992300000000001,-5.299999999999749e-06,-0.001435,-0.015926700000000005,-0.15917519999999996
rolling_origin_predictor_repair_package,origin_2022_2023_12m,full_baseline_vs_gene_all_regimes,gene+all-regimes,full-baseline-predictor,10,0.02735440000000001,-0.0109393,6.009999999999974e-05,-0.0005689999999999987,-0.012575800000000003,-0.12567659999999997
rolling_origin_predictor_repair_package,origin_2022_2024_24m,full_baseline_vs_gene_all_regimes,gene+all-regimes,full-baseline-predictor,10,0.02694280000000001,-0.011284199999999998,5.149999999999981e-05,0.001342800000000001,-0.010308400000000006,-0.10301070000000001
rolling_origin_predictor_repair_package,origin_2023_2024_12m,full_baseline_vs_gene_all_regimes,gene+all-regimes,full-baseline-predictor,10,0.024498300000000008,-0.015454,4.99999999999997e-05,-0.006998,-0.029721600000000004,-0.29711570000000004
rolling_origin_predictor_repair_package,origin_2024_2025_12m,full_baseline_vs_gene_all_regimes,gene+all-regimes,full-baseline-predictor,10,0.02502270000000001,-0.013121899999999997,6.819999999999986e-05,-0.0017163999999999999,-0.017731000000000004,-0.1772183
rolling_origin_predictor_repair_package,origin_2025_2026_4m,full_baseline_vs_gene_all_regimes,gene+all-regimes,full-baseline-predictor,10,0.028819700000000014,-0.0114615,4.319999999999984e-05,0.008012800000000002,0.028439799999999994,0.2843702
