endpoint,model_or_comparator,N,positive_N,AUROC_or_rank_AUC,interpretation
cross_environment_drift,metadata_only,26725,3863,0.5066485871752253,rank-based internal comparator; not clinical validation
cross_environment_drift,classification_support_proxy_only,26725,3863,0.5,rank-based internal comparator; not clinical validation
cross_environment_drift,AlphaMissense_only_where_matched,0,0,,rank-based internal comparator; not clinical validation
cross_environment_drift,gene_only,26725,3863,0.4627095938980686,rank-based internal comparator; not clinical validation
cross_environment_drift,regime_only,26725,3863,0.520200692953317,rank-based internal comparator; not clinical validation
cross_environment_drift,gene_plus_regime,26725,3863,0.4835007524012719,rank-based internal comparator; not clinical validation
cross_environment_drift,gene_plus_regime_plus_metadata,26725,3863,0.48350081467770933,rank-based internal comparator; not clinical validation
cross_environment_drift,gene_plus_regime_plus_AlphaMissense_where_matched,26725,3863,0.4835007524012719,rank-based internal comparator; not clinical validation
condition_label_drift,metadata_only,26725,9868,0.5002610450110889,rank-based internal comparator; not clinical validation
condition_label_drift,classification_support_proxy_only,26725,9868,0.5,rank-based internal comparator; not clinical validation
condition_label_drift,AlphaMissense_only_where_matched,0,0,,rank-based internal comparator; not clinical validation
condition_label_drift,gene_only,26725,9868,0.46550596785439907,rank-based internal comparator; not clinical validation
condition_label_drift,regime_only,26725,9868,0.39455227343462024,rank-based internal comparator; not clinical validation
condition_label_drift,gene_plus_regime,26725,9868,0.38193376332193124,rank-based internal comparator; not clinical validation
condition_label_drift,gene_plus_regime_plus_metadata,26725,9868,0.3819415784108673,rank-based internal comparator; not clinical validation
condition_label_drift,gene_plus_regime_plus_AlphaMissense_where_matched,26725,9868,0.38193376332193124,rank-based internal comparator; not clinical validation
unsupported_reuse,metadata_only,26725,1993,0.5056036942820817,rank-based internal comparator; not clinical validation
unsupported_reuse,classification_support_proxy_only,26725,1993,0.5,rank-based internal comparator; not clinical validation
unsupported_reuse,AlphaMissense_only_where_matched,0,0,,rank-based internal comparator; not clinical validation
unsupported_reuse,gene_only,26725,1993,0.31917043835861225,rank-based internal comparator; not clinical validation
unsupported_reuse,regime_only,26725,1993,0.5032856182146165,rank-based internal comparator; not clinical validation
unsupported_reuse,gene_plus_regime,26725,1993,0.41372561526396895,rank-based internal comparator; not clinical validation
unsupported_reuse,gene_plus_regime_plus_metadata,26725,1993,0.4137285468410016,rank-based internal comparator; not clinical validation
unsupported_reuse,gene_plus_regime_plus_AlphaMissense_where_matched,26725,1993,0.41372561526396895,rank-based internal comparator; not clinical validation
routing_action,metadata_only,26725,21618,0.5074928675479714,rank-based internal comparator; not clinical validation
routing_action,classification_support_proxy_only,26725,21618,0.5,rank-based internal comparator; not clinical validation
routing_action,AlphaMissense_only_where_matched,0,0,,rank-based internal comparator; not clinical validation
routing_action,gene_only,26725,21618,0.7897855129573053,rank-based internal comparator; not clinical validation
routing_action,regime_only,26725,21618,0.46316310826198887,rank-based internal comparator; not clinical validation
routing_action,gene_plus_regime,26725,21618,0.6091728824779835,rank-based internal comparator; not clinical validation
routing_action,gene_plus_regime_plus_metadata,26725,21618,0.6091821032313885,rank-based internal comparator; not clinical validation
routing_action,gene_plus_regime_plus_AlphaMissense_where_matched,26725,21618,0.6091728824779835,rank-based internal comparator; not clinical validation
