gold_standard,domain,N,baseline_unsupported_reuse_rate,cab_unsupported_reuse_rate,absolute_reduction,relative_reduction
temporal_condition_gold,all,26725,0.3692422825070159,0.07457436856875585,0.2946679139382601,0.7980340494527767
temporal_condition_gold,cardiomyopathy,4918,0.3865392435949573,0.03924359495729972,0.34729564863765755,0.8984744871120462
temporal_condition_gold,hereditary_cancer,20865,0.3643421998562186,0.08531032830098251,0.27903187155523607,0.7658510918179426
temporal_condition_gold,inherited_arrhythmia,942,0.3874734607218684,0.021231422505307854,0.36624203821656054,0.9452054794520548
temporal_condition_or_cross_environment_gold,all,26725,0.3692422825070159,0.07457436856875585,0.2946679139382601,0.7980340494527767
temporal_condition_or_cross_environment_gold,cardiomyopathy,4918,0.3865392435949573,0.03924359495729972,0.34729564863765755,0.8984744871120462
temporal_condition_or_cross_environment_gold,hereditary_cancer,20865,0.3643421998562186,0.08531032830098251,0.27903187155523607,0.7658510918179426
temporal_condition_or_cross_environment_gold,inherited_arrhythmia,942,0.3874734607218684,0.021231422505307854,0.36624203821656054,0.9452054794520548
any_meaning_gold,all,26725,0.386155285313377,0.08613657623947614,0.3000187090739009,0.7769379844961241
any_meaning_gold,cardiomyopathy,4918,0.4036193574623831,0.04168361122407483,0.36193574623830826,0.8967254408060453
any_meaning_gold,hereditary_cancer,20865,0.3819793913251857,0.09954469206805655,0.28243469925712916,0.7393977415307402
any_meaning_gold,inherited_arrhythmia,942,0.3874734607218684,0.021231422505307854,0.36624203821656054,0.9452054794520548
composite_routing_gold,all,26725,0.8568755846585594,0.1299906454630496,0.7268849391955098,0.848296943231441
composite_routing_gold,cardiomyopathy,4918,0.9164294428629525,0.03924359495729972,0.8771858479056528,0.9571777235411583
composite_routing_gold,hereditary_cancer,20865,0.8544452432302899,0.1562904385334292,0.6981548046968608,0.8170854835090868
composite_routing_gold,inherited_arrhythmia,942,0.5997876857749469,0.021231422505307854,0.578556263269639,0.9646017699115045
