domain,endpoint,CAB_Strict_minimizes_unsupported_reuse,min_unsupported_reuse_mode,CAB_Balanced_more_direct_use_than_Strict,CAB_Balanced_lower_overrestriction_than_Strict,CAB_Strict_unsupported_reuse,CAB_Balanced_unsupported_reuse,CAB_Strict_overrestriction,CAB_Balanced_overrestriction
all_domains,any_meaning_drift,yes,CAB-Strict,yes,yes,0.025706267539756782,0.08613657623947614,0.5586529466791393,0.42686623012160896
all_domains,conservative_composite_routing,yes,CAB-Strict,yes,yes,0.028288119738072964,0.1299906454630496,0.09051449953227315,0.0
all_domains,cross_environment_drift,yes,CAB-Strict,yes,yes,0.0016838166510757717,0.027315247895229187,0.7762394761459308,0.6096538821328344
all_domains,semantic_drift_without_reclassification,yes,CAB-Strict,yes,yes,0.024172123479887744,0.07457436856875585,0.5740318054256315,0.43221702525724975
all_domains,temporal_condition_label_drift,yes,CAB-Strict,yes,yes,0.024172123479887744,0.07457436856875585,0.5740318054256315,0.43221702525724975
cardiomyopathy,any_meaning_drift,no,regime-only,no,no,0.04168361122407483,0.04168361122407483,0.5152501016673444,0.5152501016673444
cardiomyopathy,conservative_composite_routing,no,regime-only,no,no,0.03924359495729972,0.03924359495729972,0.0,0.0
cardiomyopathy,cross_environment_drift,no,regime-only,no,no,0.004066693777958519,0.004066693777958519,0.7826352175681172,0.7826352175681172
cardiomyopathy,semantic_drift_without_reclassification,no,regime-only,no,no,0.03924359495729972,0.03924359495729972,0.5298901992679951,0.5298901992679951
cardiomyopathy,temporal_condition_label_drift,no,regime-only,no,no,0.03924359495729972,0.03924359495729972,0.5298901992679951,0.5298901992679951
hereditary_cancer,any_meaning_drift,yes,CAB-Strict,yes,yes,0.015240833932422718,0.09954469206805655,0.5891205367840882,0.4157201054397316
hereditary_cancer,conservative_composite_routing,yes,CAB-Strict,yes,yes,0.013850946561226936,0.1562904385334292,0.11526479750778816,0.0
hereditary_cancer,cross_environment_drift,yes,CAB-Strict,yes,yes,0.0011981787682722263,0.03402827701893123,0.7951593577761802,0.5702851665468488
hereditary_cancer,semantic_drift_without_reclassification,yes,CAB-Strict,yes,yes,0.013850946561226936,0.08531032830098251,0.6053678408818596,0.41912293314162474
hereditary_cancer,temporal_condition_label_drift,yes,CAB-Strict,yes,yes,0.013850946561226936,0.08531032830098251,0.6053678408818596,0.41912293314162474
inherited_arrhythmia,any_meaning_drift,no,portability-score-only,no,no,0.1740976645435244,0.021231422505307854,0.11040339702760085,0.21231422505307856
inherited_arrhythmia,conservative_composite_routing,no,portability-score-only,no,yes,0.2908704883227176,0.021231422505307854,0.014861995753715499,0.0
inherited_arrhythmia,cross_environment_drift,no,ClinVar-label-only,no,no,0.0,0.0,0.3237791932059448,0.578556263269639
inherited_arrhythmia,semantic_drift_without_reclassification,no,portability-score-only,no,no,0.1740976645435244,0.021231422505307854,0.11040339702760085,0.21231422505307856
inherited_arrhythmia,temporal_condition_label_drift,no,portability-score-only,no,no,0.1740976645435244,0.021231422505307854,0.11040339702760085,0.21231422505307856
