gold_standard,domain,system,N,true_direct_use_allowed,false_direct_use_unsupported_deterministic_reuse,true_restriction,false_restriction_overrestriction,unsupported_deterministic_reuse_rate,overrestriction_rate,direct_use_allowed_rate,sensitivity_recall_nonportability_detection,specificity_allowing_portable_assertions,precision_PPV_direct_use_decisions,NPV_restriction_decisions,F1_nonportability_detection,repair_recall,cross_environment_drift_capture,condition_drift_capture
temporal_condition_gold,all,ClinVar_label_only_baseline,26725,16857,9868,0,0,0.3692422825070159,0.0,1.0,0.0,1.0,0.6307577174929841,,,0.0,0.0,0.0
temporal_condition_gold,all,CAB,26725,5306,1993,7875,11551,0.07457436856875585,0.43221702525724975,0.27311506080449016,0.7980340494527767,0.3147653793676218,0.7269488971091931,0.4053845361886132,0.5376527616576774,0.870186461289015,0.8081801708516697,0.7980340494527767
temporal_condition_gold,cardiomyopathy,ClinVar_label_only_baseline,4918,3017,1901,0,0,0.3865392435949573,0.0,1.0,0.0,1.0,0.6134607564050427,,,0.0,0.0,0.0
temporal_condition_gold,cardiomyopathy,CAB,4918,411,193,1708,2606,0.03924359495729972,0.5298901992679951,0.12281415209434729,0.8984744871120462,0.13622804110043088,0.6804635761589404,0.3959202596198424,0.5496379726468222,0.8984744871120462,0.9484536082474226,0.8984744871120462
temporal_condition_gold,hereditary_cancer,ClinVar_label_only_baseline,20865,13263,7602,0,0,0.3643421998562186,0.0,1.0,0.0,1.0,0.6356578001437815,,,0.0,0.0,0.0
temporal_condition_gold,hereditary_cancer,CAB,20865,4518,1780,5822,8745,0.08531032830098251,0.41912293314162474,0.30184519530313925,0.7658510918179426,0.34064691246324363,0.7173705938393141,0.3996704880895174,0.5252379448779828,0.8595106550907656,0.7880402605091771,0.7658510918179426
temporal_condition_gold,inherited_arrhythmia,ClinVar_label_only_baseline,942,577,365,0,0,0.3874734607218684,0.0,1.0,0.0,1.0,0.6125265392781316,,,0.0,0.0,0.0
temporal_condition_gold,inherited_arrhythmia,CAB,942,377,20,345,200,0.021231422505307854,0.21231422505307856,0.42144373673036095,0.9452054794520548,0.6533795493934142,0.9496221662468514,0.6330275229357798,0.7582417582417583,0.9452054794520548,0.0,0.9452054794520548
temporal_condition_or_cross_environment_gold,all,ClinVar_label_only_baseline,26725,16857,9868,0,0,0.3692422825070159,0.0,1.0,0.0,1.0,0.6307577174929841,,,0.0,0.0,0.0
temporal_condition_or_cross_environment_gold,all,CAB,26725,5306,1993,7875,11551,0.07457436856875585,0.43221702525724975,0.27311506080449016,0.7980340494527767,0.3147653793676218,0.7269488971091931,0.4053845361886132,0.5376527616576774,0.870186461289015,0.8081801708516697,0.7980340494527767
temporal_condition_or_cross_environment_gold,cardiomyopathy,ClinVar_label_only_baseline,4918,3017,1901,0,0,0.3865392435949573,0.0,1.0,0.0,1.0,0.6134607564050427,,,0.0,0.0,0.0
temporal_condition_or_cross_environment_gold,cardiomyopathy,CAB,4918,411,193,1708,2606,0.03924359495729972,0.5298901992679951,0.12281415209434729,0.8984744871120462,0.13622804110043088,0.6804635761589404,0.3959202596198424,0.5496379726468222,0.8984744871120462,0.9484536082474226,0.8984744871120462
temporal_condition_or_cross_environment_gold,hereditary_cancer,ClinVar_label_only_baseline,20865,13263,7602,0,0,0.3643421998562186,0.0,1.0,0.0,1.0,0.6356578001437815,,,0.0,0.0,0.0
temporal_condition_or_cross_environment_gold,hereditary_cancer,CAB,20865,4518,1780,5822,8745,0.08531032830098251,0.41912293314162474,0.30184519530313925,0.7658510918179426,0.34064691246324363,0.7173705938393141,0.3996704880895174,0.5252379448779828,0.8595106550907656,0.7880402605091771,0.7658510918179426
temporal_condition_or_cross_environment_gold,inherited_arrhythmia,ClinVar_label_only_baseline,942,577,365,0,0,0.3874734607218684,0.0,1.0,0.0,1.0,0.6125265392781316,,,0.0,0.0,0.0
temporal_condition_or_cross_environment_gold,inherited_arrhythmia,CAB,942,377,20,345,200,0.021231422505307854,0.21231422505307856,0.42144373673036095,0.9452054794520548,0.6533795493934142,0.9496221662468514,0.6330275229357798,0.7582417582417583,0.9452054794520548,0.0,0.9452054794520548
any_meaning_gold,all,ClinVar_label_only_baseline,26725,16405,10320,0,0,0.386155285313377,0.0,1.0,0.0,1.0,0.613844714686623,,,0.0,0.0,0.0
any_meaning_gold,all,CAB,26725,4997,2302,8018,11408,0.08613657623947614,0.42686623012160896,0.27311506080449016,0.7769379844961241,0.304602255409936,0.684614330730237,0.4127458045917842,0.5390976938075708,0.8569767441860465,0.8081801708516697,0.7980340494527767
