domain,primary_routing_action,N,action_N,action_percent,mutually_exclusive
all,no_deterministic_reuse,26725,0,0.0,yes
all,disease_specific_review,26725,19105,71.48737137511694,yes
all,population_or_penetrance_review,26725,2269,8.490177736202059,yes
all,contextual_repair,26725,244,0.9130028063610851,yes
all,direct_deterministic_use,26725,5107,19.109448082319926,yes
cardiomyopathy,no_deterministic_reuse,4918,0,0.0,yes
cardiomyopathy,disease_specific_review,4918,4314,87.71858479056527,yes
cardiomyopathy,population_or_penetrance_review,4918,0,0.0,yes
cardiomyopathy,contextual_repair,4918,0,0.0,yes
cardiomyopathy,direct_deterministic_use,4918,604,12.281415209434728,yes
hereditary_cancer,no_deterministic_reuse,20865,0,0.0,yes
hereditary_cancer,disease_specific_review,20865,14449,69.24994009106159,yes
hereditary_cancer,population_or_penetrance_review,20865,2269,10.874670500838725,yes
hereditary_cancer,contextual_repair,20865,41,0.19650131799664508,yes
hereditary_cancer,direct_deterministic_use,20865,4106,19.678888090103044,yes
inherited_arrhythmia,no_deterministic_reuse,942,0,0.0,yes
inherited_arrhythmia,disease_specific_review,942,342,36.30573248407643,yes
inherited_arrhythmia,population_or_penetrance_review,942,0,0.0,yes
inherited_arrhythmia,contextual_repair,942,203,21.549893842887474,yes
inherited_arrhythmia,direct_deterministic_use,942,397,42.14437367303609,yes
