assertion_id,future_condition_label_drift,future_classification_change,future_cross_environment_drift,future_any_meaning_drift
CM_1002513,0,0,0,0
CM_100690,0,0,0,0
CM_1010089,0,0,0,0
CM_1012333,0,0,0,0
CM_1012334,1,0,0,1
CM_1012335,0,0,0,0
CM_1012336,0,0,0,0
CM_1012338,1,0,1,1
CM_1012339,1,0,0,1
CM_1012347,0,0,0,0
CM_1012348,0,0,0,0
CM_1012349,0,0,0,1
CM_1012350,0,0,0,0
CM_1012351,0,0,0,0
CM_1012352,0,0,0,0
CM_1012353,0,0,0,0
CM_1012354,0,0,0,0
CM_1012355,0,0,0,0
CM_1012357,0,0,0,0
CM_1012358,0,0,0,0
CM_1013320,0,0,0,0
CM_1013436,0,0,0,0
CM_1025130,1,0,0,1
CM_1027653,0,0,0,0
CM_1027654,0,0,0,0
CM_1027658,1,0,1,1
CM_1027660,0,0,0,0
CM_1029072,0,0,0,0
CM_1029099,0,0,0,0
CM_1029101,1,0,0,1
CM_1030165,1,0,1,1
CM_1030169,1,0,1,1
CM_1031603,0,0,0,0
CM_1034083,1,0,0,1
CM_1048771,0,0,0,0
CM_1061173,1,0,0,1
CM_1064523,0,0,0,0
CM_1065188,0,0,0,0
CM_1065189,0,0,0,0
CM_1065190,1,0,0,1
CM_1065191,0,0,0,1
CM_1065192,0,0,0,0
CM_1065528,0,0,0,0
CM_1065619,1,0,0,1
CM_1065901,0,0,0,0
CM_1065903,1,0,0,1
CM_1065910,1,0,0,1
CM_1065919,0,0,0,0
CM_1065920,0,0,0,1
CM_1065927,0,0,0,0
CM_1065929,0,0,0,0
CM_1065946,0,0,0,0
CM_1065955,0,0,0,0
CM_1065959,0,0,0,0
CM_1066001,0,0,0,0
CM_1066007,0,0,0,0
CM_1066012,1,0,0,1
CM_1066035,0,0,0,0
CM_1066067,0,0,0,0
CM_1066079,0,0,0,0
CM_1066084,0,0,0,0
CM_1066090,0,0,0,0
CM_1066091,0,0,0,0
CM_1066092,0,0,0,0
CM_1066110,0,0,0,1
CM_1066116,0,0,0,0
CM_1066124,1,0,0,1
CM_1066131,0,0,0,0
CM_1066160,0,0,0,0
CM_1066161,1,0,0,1
CM_1066165,0,0,0,0
CM_1066192,1,0,0,1
CM_1066195,0,0,0,0
CM_1066242,0,0,0,0
CM_1066247,1,0,0,1
CM_1066248,0,0,0,0
CM_1066282,0,0,0,0
CM_1066283,0,0,0,0
CM_1066284,0,0,0,0
CM_1066354,1,0,0,1
CM_1066387,1,0,0,1
CM_1066391,0,0,0,0
CM_1066392,0,0,0,0
CM_1066406,1,0,0,1
CM_1066457,1,0,0,1
CM_1066470,0,0,0,0
CM_1066477,1,0,0,1
CM_1066478,0,0,0,0
CM_1066489,0,0,0,0
CM_1066509,0,0,0,0
CM_1066510,1,0,0,1
CM_1066608,0,0,0,0
CM_1066616,0,0,0,0
CM_1066644,0,0,0,0
CM_1066658,0,0,0,0
CM_1066675,0,0,0,0
CM_1066676,0,0,0,0
CM_1066692,0,0,0,0
CM_1066724,1,0,0,1
CM_1066730,0,0,0,0
CM_1066747,0,0,0,0
CM_1066750,0,0,0,0
CM_1066752,1,0,0,1
CM_1066790,0,0,0,0
CM_1066815,1,0,0,1
CM_1066850,0,0,0,0
CM_1066869,1,0,0,1
CM_1066877,0,0,0,0
CM_1066881,0,0,0,0
CM_1066882,1,0,0,1
CM_1066899,0,0,0,0
CM_1066907,1,0,0,1
CM_1066919,0,0,0,0
CM_1066932,0,0,0,0
CM_1066944,0,0,0,0
CM_1066962,1,0,0,1
CM_1067002,0,0,0,0
CM_1067005,0,0,0,0
CM_1067013,1,0,1,1
CM_1067018,1,0,0,1
CM_1067032,0,0,0,0
CM_1067060,0,0,0,0
CM_1067063,0,0,0,0
CM_1067068,1,0,0,1
CM_1067069,0,0,0,0
CM_1067071,1,0,0,1
CM_1067122,0,0,0,0
CM_1067151,1,0,0,1
CM_1067175,0,0,0,0
CM_1067182,0,0,0,0
CM_1067192,0,0,0,0
CM_1067212,0,0,0,0
CM_1067223,1,0,0,1
CM_1067225,0,0,0,0
CM_1067228,1,0,0,1
CM_1067232,1,0,0,1
CM_1067237,0,0,0,0
CM_1067273,0,0,0,0
CM_1067280,0,0,0,0
CM_1067323,1,0,0,1
CM_1067326,0,0,0,0
CM_1067329,0,0,0,0
CM_1067336,0,0,0,0
CM_1067360,0,0,0,0
CM_1067364,0,0,0,0
CM_1067412,0,0,0,0
CM_1067413,0,0,0,0
CM_1067435,0,0,0,0
CM_1067436,0,0,0,0
CM_1067437,0,0,0,1
CM_1067439,0,0,0,0
CM_1067440,0,0,0,0
CM_1067443,0,0,0,0
CM_1067447,1,0,0,1
CM_1067466,0,0,0,0
CM_1067467,0,0,0,0
CM_1067472,1,0,0,1
CM_1067502,1,0,0,1
CM_1067510,0,0,0,0
CM_1067520,0,0,0,0
CM_1067540,1,0,0,1
CM_1067543,0,0,0,0
CM_1067551,0,0,0,0
CM_1067552,0,0,0,0
CM_1067559,0,0,0,0
CM_1067560,0,0,0,0
CM_1067577,0,0,0,0
CM_1067584,0,0,0,0
CM_1067594,0,0,0,0
CM_1067595,0,0,0,0
CM_1067597,0,0,0,0
CM_1067599,0,0,0,0
CM_1067607,0,0,0,0
CM_1067608,0,0,0,0
CM_1067620,0,0,0,0
CM_1067630,0,0,0,0
CM_1067638,1,0,0,1
CM_1067644,0,0,0,0
CM_1067666,0,0,0,0
CM_1067678,1,0,0,1
CM_1067679,0,0,0,0
CM_1067687,0,0,0,0
CM_1067705,0,0,0,0
CM_1067710,0,0,0,0
CM_1067711,0,0,0,0
CM_1067712,0,0,0,0
CM_1067713,0,0,0,0
CM_1067719,0,0,0,0
CM_1067738,1,0,0,1
CM_1067746,0,0,0,0
CM_1067751,1,0,0,1
CM_1067773,0,0,0,0
CM_1067782,0,0,0,0
CM_1067790,0,0,0,0
CM_1067791,0,0,0,0
CM_1067816,0,0,0,0
CM_1067817,0,0,0,0
CM_1067824,0,0,0,0
CM_1067826,0,0,0,0
CM_1067830,0,0,0,0
CM_1067831,0,0,0,0
CM_1067833,0,0,0,0
CM_1067860,0,0,0,0
CM_1067884,0,0,0,0
CM_1067887,0,0,0,0
CM_1067903,0,0,0,0
CM_1067904,1,0,0,1
CM_1067909,1,0,0,1
CM_1067914,0,0,0,0
CM_1067950,0,0,0,0
CM_1067951,0,0,0,0
CM_1067971,0,0,0,0
CM_1067984,1,0,0,1
CM_1067985,0,0,0,0
CM_1067986,0,0,0,0
CM_1068001,0,0,0,0
CM_1068012,1,0,0,1
CM_1068025,0,0,0,0
CM_1068063,0,0,0,0
CM_1068072,0,0,0,0
CM_1068107,1,0,0,1
CM_1068120,1,0,0,1
CM_1068134,0,0,0,0
CM_1068167,1,0,0,1
CM_1068172,0,0,0,0
CM_1068173,0,0,0,0
CM_1068187,0,0,0,0
CM_1068196,0,0,0,0
CM_1068203,0,0,0,0
CM_1068205,0,0,0,0
CM_1068218,0,0,0,0
CM_1068219,1,0,0,1
CM_1068220,1,0,0,1
CM_1068221,0,0,0,0
CM_1068225,0,0,0,0
CM_1068244,0,0,0,0
CM_1068246,0,0,0,0
CM_1068262,1,0,0,1
CM_1068305,0,0,0,0
CM_1068312,0,0,0,0
CM_1068313,1,0,0,1
CM_1068315,0,0,0,0
CM_1068317,0,0,0,0
CM_1068341,0,0,0,0
CM_1068361,1,0,0,1
CM_1068389,0,0,0,0
CM_1068427,0,0,0,0
CM_1068431,0,0,0,0
CM_1068439,1,0,0,1
CM_1068545,1,0,0,1
CM_1068586,1,0,0,1
CM_1068631,1,0,0,1
CM_1068704,0,0,0,0
CM_1068825,0,0,0,0
CM_1068839,1,0,0,1
CM_1068840,1,0,0,1
CM_1068841,1,0,0,1
CM_1068933,0,0,0,0
CM_1069289,0,0,0,0
CM_1069300,1,0,0,1
CM_1069307,1,0,0,1
CM_1069324,0,0,0,0
CM_1069362,1,0,0,1
CM_1069497,0,0,0,0
CM_1069527,1,0,0,1
CM_1069623,0,0,0,0
CM_1069652,1,0,0,1
CM_1069658,1,0,0,1
CM_1069659,1,0,0,1
CM_1069672,0,0,0,0
CM_1069713,0,0,0,0
CM_1069787,1,0,0,1
CM_1069816,1,0,0,1
CM_1069832,0,0,0,0
CM_1069833,0,0,0,0
CM_1069877,0,0,0,0
CM_1069890,1,0,0,1
CM_1069891,0,0,0,1
CM_1069892,0,0,0,0
CM_1069893,1,0,0,1
CM_1069899,0,0,0,0
CM_1069958,0,0,0,0
CM_1069979,1,0,0,1
CM_1069991,1,0,0,1
CM_1070039,0,0,0,0
CM_1070193,0,0,0,0
CM_1070194,1,0,0,1
CM_1070209,1,0,0,1
CM_1070495,1,0,0,1
CM_1070496,1,0,0,1
CM_1070523,1,0,0,1
CM_1070569,1,0,0,1
CM_1070575,1,0,0,1
CM_1070590,1,0,0,1
CM_1070600,0,0,0,0
CM_1070601,0,0,0,0
CM_1070637,0,0,0,0
CM_1070911,1,0,0,1
CM_1071031,1,0,0,1
CM_1071053,1,0,0,1
CM_1071112,0,0,0,0
CM_1071328,1,0,0,1
CM_1071490,1,0,0,1
CM_1071491,1,0,0,1
CM_1071502,0,0,0,0
CM_1071678,1,0,0,1
CM_1071779,0,0,0,0
CM_1071831,0,0,0,0
CM_1071863,0,0,0,0
CM_1071864,0,0,0,0
CM_1071868,0,0,0,0
CM_1071869,0,0,0,0
CM_1071931,1,0,0,1
CM_1071932,1,0,0,1
CM_1071935,0,0,0,0
CM_1072004,1,0,0,1
CM_1072032,1,0,0,1
CM_1072033,1,0,0,1
CM_1072048,0,0,0,0
CM_1072148,0,0,0,0
CM_1072180,1,0,0,1
CM_1072269,1,0,0,1
CM_1072270,1,0,0,1
CM_1072271,0,0,0,0
CM_1072294,1,0,0,1
CM_1072470,1,0,0,1
CM_1072518,0,0,0,0
CM_1072579,0,0,0,0
CM_1072629,1,0,0,1
CM_1072769,1,0,0,1
CM_1072780,0,0,0,0
CM_1072843,1,0,0,1
CM_1072931,1,0,0,1
CM_1073146,0,0,0,0
CM_1073348,0,0,0,0
CM_1073366,1,0,0,1
CM_1073410,1,0,0,1
CM_1073656,0,0,0,0
CM_1073737,1,0,0,1
CM_1073811,0,0,0,0
CM_1073872,1,0,0,1
CM_1073940,1,0,0,1
CM_1074065,0,0,0,0
CM_1074099,0,0,0,0
CM_1074124,1,0,0,1
CM_1074127,1,0,0,1
CM_1074155,1,0,0,1
CM_1074200,1,0,0,1
CM_1074224,1,0,0,1
CM_1074339,0,0,0,0
CM_1074377,1,0,0,1
CM_1074392,1,0,0,1
CM_1074493,1,0,0,1
CM_1074694,0,0,0,0
CM_1074769,0,0,0,0
CM_1074817,0,0,0,0
CM_1074856,0,0,0,0
CM_1074858,0,0,0,0
CM_1074904,1,0,0,1
CM_1074948,0,0,0,0
CM_1074954,1,0,0,1
CM_1074955,1,0,0,1
CM_1075135,1,0,0,1
CM_1075169,1,0,0,1
CM_1075207,1,0,0,1
CM_1075208,0,0,0,0
CM_1075228,1,0,0,1
CM_1075242,0,0,0,0
CM_1075275,1,0,0,1
CM_1075295,1,0,0,1
CM_1075297,0,0,0,0
CM_1075312,0,0,0,0
CM_1075406,1,0,0,1
CM_1075461,0,0,0,0
CM_1075513,0,0,0,0
CM_1075514,0,0,0,0
CM_1075515,0,0,0,0
CM_1075516,0,0,0,0
CM_1075572,0,0,0,0
CM_1075725,0,0,0,0
CM_1075727,0,0,0,0
CM_1075858,0,0,0,0
CM_1075931,0,0,0,0
CM_1075964,0,0,0,0
CM_1075965,0,0,0,0
