assertion_id,future_condition_label_drift,future_classification_change,future_cross_environment_drift,future_any_meaning_drift
CANCER_1012155,0,0,0,0
CANCER_1012156,0,0,0,0
CANCER_1012157,0,0,0,0
CANCER_1012158,0,0,0,0
CANCER_1012159,0,0,0,0
CANCER_1012160,1,0,1,1
CANCER_1012161,0,0,0,0
CANCER_1012162,1,0,1,1
CANCER_1012163,1,0,0,1
CANCER_1012164,0,0,0,0
CANCER_1012165,0,0,0,0
CANCER_1012166,1,0,1,1
CANCER_1012167,1,0,1,1
CANCER_1012168,0,0,0,0
CANCER_1012188,0,0,0,1
CANCER_1012189,0,0,0,0
CANCER_1012190,0,0,0,0
CANCER_1012191,0,0,0,0
CANCER_1012192,0,0,0,0
CANCER_1012193,0,0,0,0
CANCER_1012194,1,0,0,1
CANCER_1012202,0,0,0,0
CANCER_1012203,0,0,0,0
CANCER_1012206,0,0,0,0
CANCER_1012207,1,0,0,1
CANCER_1012208,0,0,0,0
CANCER_1012210,0,0,0,0
CANCER_1013733,1,0,1,1
CANCER_1027442,1,0,1,1
CANCER_1027443,0,0,0,0
CANCER_1027594,0,0,0,0
CANCER_1027595,0,0,0,0
CANCER_1027596,0,0,0,0
CANCER_1027606,0,0,0,0
CANCER_1027624,0,0,0,0
CANCER_1032991,0,0,0,0
CANCER_1048814,1,0,0,1
CANCER_1048829,0,0,0,0
CANCER_1048837,0,0,0,0
CANCER_1048853,0,0,0,0
CANCER_1048891,0,0,0,0
CANCER_1048907,0,0,0,0
CANCER_1048908,0,0,0,0
CANCER_1048910,1,0,1,1
CANCER_1048937,0,0,0,0
CANCER_1048958,0,0,0,0
CANCER_1048961,0,0,0,0
CANCER_1048980,0,0,0,0
CANCER_1048983,0,0,0,0
CANCER_1048992,0,0,0,0
CANCER_1049017,0,0,0,0
CANCER_1049053,0,0,0,0
CANCER_1049076,0,0,0,0
CANCER_1049077,1,0,1,1
CANCER_1049082,0,0,0,0
CANCER_1049103,0,0,0,0
