assertion_id,future_condition_label_drift,future_classification_change,future_cross_environment_drift,future_any_meaning_drift
ARR_1325231,0,0,0,0
ARR_1074440,1,0,0,1
ARR_1027323,0,0,0,0
ARR_1766367,1,0,0,1
ARR_1395670,1,0,0,1
ARR_1427034,1,0,0,1
ARR_1070395,1,0,0,1
ARR_427946,1,0,0,1
ARR_871731,1,0,0,1
ARR_519365,0,0,0,0
ARR_1523438,1,0,0,1
ARR_862119,0,0,0,0
ARR_378906,0,0,0,0
ARR_801535,1,0,0,1
ARR_1749169,1,0,0,1
ARR_1514023,0,0,0,0
ARR_373047,0,0,0,0
ARR_924057,1,0,0,1
ARR_1455898,1,0,0,1
ARR_375594,0,0,0,0
ARR_1454593,0,0,0,0
ARR_838068,1,0,0,1
ARR_1171509,0,0,0,0
ARR_1214434,1,0,0,1
ARR_1067403,0,0,0,0
ARR_852605,1,0,0,1
ARR_1757434,1,0,0,1
ARR_1420193,1,0,0,1
ARR_633643,0,0,0,0
ARR_547162,1,0,0,1
ARR_859128,0,0,0,0
ARR_666975,0,0,0,0
ARR_972416,1,0,0,1
ARR_1515619,1,0,0,1
ARR_926958,0,0,0,0
ARR_1076966,1,0,0,1
ARR_1457006,1,0,0,1
ARR_405260,1,0,0,1
ARR_418944,1,0,0,1
ARR_651334,1,0,0,1
ARR_523778,0,0,0,0
ARR_505275,1,0,0,1
ARR_404118,0,0,0,0
ARR_1403180,1,0,0,1
ARR_496571,1,0,0,1
ARR_449691,1,0,0,1
ARR_1075032,1,0,0,1
ARR_503669,0,0,0,0
ARR_667015,0,0,0,0
ARR_1480008,0,0,0,0
ARR_842027,1,0,0,1
ARR_942279,1,0,0,1
ARR_583099,1,0,0,1
ARR_517279,1,0,0,1
ARR_405265,0,0,0,0
ARR_924596,1,0,0,1
ARR_1367739,1,0,0,1
ARR_403974,0,0,0,0
ARR_1805845,0,0,0,0
ARR_418270,1,0,0,1
ARR_649240,1,0,0,1
ARR_817280,1,0,0,1
ARR_488729,1,0,0,1
ARR_547164,1,0,0,1
ARR_1477795,0,0,0,0
ARR_915308,1,0,0,1
ARR_1675066,1,0,0,1
ARR_404190,1,0,0,1
