origin_id,mode,N,direct_use_allowed_N,direct_use_allowed_rate,unsupported_reuse_N,unsupported_reuse_rate,true_portable_allowed_rate,overrestriction_rate,dominant_primary_action,metric_status
origin_2015_2016_12m,CAB-Strict,5948,103,0.017317,0,0.000000,1.000000,0.982683,population_penetrance_review,fixture_only_not_publication_result
origin_2015_2016_12m,CAB-Balanced,5948,1303,0.219065,1200,0.201748,1.000000,0.780935,population_penetrance_review,fixture_only_not_publication_result
origin_2015_2017_24m,CAB-Strict,5948,103,0.017317,0,0.000000,1.000000,0.982683,population_penetrance_review,fixture_only_not_publication_result
origin_2015_2017_24m,CAB-Balanced,5948,1303,0.219065,1200,0.201748,1.000000,0.780935,population_penetrance_review,fixture_only_not_publication_result
origin_2015_2020_60m,CAB-Strict,5948,103,0.017317,0,0.000000,1.000000,0.982683,population_penetrance_review,fixture_only_not_publication_result
origin_2015_2020_60m,CAB-Balanced,5948,1303,0.219065,1200,0.201748,1.000000,0.780935,population_penetrance_review,fixture_only_not_publication_result
origin_2015_2025_120m,CAB-Strict,5948,103,0.017317,0,0.000000,1.000000,0.982683,population_penetrance_review,fixture_only_not_publication_result
origin_2015_2025_120m,CAB-Balanced,5948,1303,0.219065,1200,0.201748,1.000000,0.780935,population_penetrance_review,fixture_only_not_publication_result
origin_2016_2017_12m,CAB-Strict,7819,128,0.016370,0,0.000000,1.000000,0.983630,population_penetrance_review,fixture_only_not_publication_result
origin_2016_2017_12m,CAB-Balanced,7819,1725,0.220616,1597,0.204246,1.000000,0.779384,population_penetrance_review,fixture_only_not_publication_result
origin_2017_2018_12m,CAB-Strict,9732,158,0.016235,0,0.000000,1.000000,0.983765,population_penetrance_review,fixture_only_not_publication_result
origin_2017_2018_12m,CAB-Balanced,9732,2140,0.219893,1982,0.203658,1.000000,0.780107,population_penetrance_review,fixture_only_not_publication_result
origin_2018_2019_12m,CAB-Strict,11650,213,0.018283,0,0.000000,1.000000,0.981717,population_penetrance_review,fixture_only_not_publication_result
origin_2018_2019_12m,CAB-Balanced,11650,2505,0.215021,2292,0.196738,1.000000,0.784979,population_penetrance_review,fixture_only_not_publication_result
origin_2018_2020_24m,CAB-Strict,11650,213,0.018283,0,0.000000,1.000000,0.981717,population_penetrance_review,fixture_only_not_publication_result
origin_2018_2020_24m,CAB-Balanced,11650,2505,0.215021,2292,0.196738,1.000000,0.784979,population_penetrance_review,fixture_only_not_publication_result
origin_2019_2020_12m,CAB-Strict,13505,228,0.016883,0,0.000000,1.000000,0.983117,population_penetrance_review,fixture_only_not_publication_result
origin_2019_2020_12m,CAB-Balanced,13505,2939,0.217623,2711,0.200740,1.000000,0.782377,population_penetrance_review,fixture_only_not_publication_result
origin_2020_2021_12m,CAB-Strict,15361,274,0.017837,0,0.000000,1.000000,0.982163,population_penetrance_review,fixture_only_not_publication_result
origin_2020_2021_12m,CAB-Balanced,15361,3373,0.219582,3099,0.201745,1.000000,0.780418,population_penetrance_review,fixture_only_not_publication_result
origin_2020_2023_36m,CAB-Strict,15361,274,0.017837,0,0.000000,1.000000,0.982163,population_penetrance_review,fixture_only_not_publication_result
origin_2020_2023_36m,CAB-Balanced,15361,3373,0.219582,3099,0.201745,1.000000,0.780418,population_penetrance_review,fixture_only_not_publication_result
origin_2021_2022_12m,CAB-Strict,17251,287,0.016637,0,0.000000,1.000000,0.983363,population_penetrance_review,fixture_only_not_publication_result
origin_2021_2022_12m,CAB-Balanced,17251,3704,0.214712,3417,0.198075,1.000000,0.785288,population_penetrance_review,fixture_only_not_publication_result
origin_2022_2023_12m,CAB-Strict,19053,329,0.017268,0,0.000000,1.000000,0.982732,population_penetrance_review,fixture_only_not_publication_result
origin_2022_2023_12m,CAB-Balanced,19053,4112,0.215819,3783,0.198551,1.000000,0.784181,population_penetrance_review,fixture_only_not_publication_result
origin_2022_2026_48m,CAB-Strict,19053,329,0.017268,0,0.000000,1.000000,0.982732,population_penetrance_review,fixture_only_not_publication_result
origin_2022_2026_48m,CAB-Balanced,19053,4112,0.215819,3783,0.198551,1.000000,0.784181,population_penetrance_review,fixture_only_not_publication_result
origin_2023_2024_12m,CAB-Strict,21056,366,0.017382,0,0.000000,1.000000,0.982618,population_penetrance_review,fixture_only_not_publication_result
origin_2023_2024_12m,CAB-Balanced,21056,4550,0.216090,4184,0.198708,1.000000,0.783910,population_penetrance_review,fixture_only_not_publication_result
origin_2024_2025_12m,CAB-Strict,22961,391,0.017029,0,0.000000,1.000000,0.982971,population_penetrance_review,fixture_only_not_publication_result
origin_2024_2025_12m,CAB-Balanced,22961,4914,0.214015,4523,0.196986,1.000000,0.785985,population_penetrance_review,fixture_only_not_publication_result
origin_2025_2026_12m,CAB-Strict,24809,426,0.017171,0,0.000000,1.000000,0.982829,population_penetrance_review,fixture_only_not_publication_result
origin_2025_2026_12m,CAB-Balanced,24809,5350,0.215648,4924,0.198476,1.000000,0.784352,population_penetrance_review,fixture_only_not_publication_result
