reviewer_id,reviewer_domain,blinded_case_id,assignment_type,case_domain,gene,variant_identifier,baseline_condition_label,target_context,primary_expert_endpoint_question,arrhythmia_high_value_gene,sads_cpvt_priority,portable_without_additional_interpretation,confidence_1_to_5,requires_disease_specific_review,requires_population_or_penetrance_context,requires_genotype_first_or_trigger_context,not_adjudicable,not_adjudicable_reason,short_rationale,review_minutes
ARR_R1,inherited_arrhythmia,SADS_PRIORITY_001,SADS_CPVT_priority_addendum,inherited_arrhythmia,KCNQ1,3116,Long QT syndrome 1|Congenital long QT syndrome|not provided|Long QT syndrome|Cardiovascular phenotype|Cardiac arrhythmia,"SADS, molecular autopsy, family-risk, genotype-first, or trigger-dependent reuse context",Does the assertion require postmortem/family-risk/PRF context before deterministic reuse?,True,True,,,,,,,,,
ARR_R2,inherited_arrhythmia,SADS_PRIORITY_001,SADS_CPVT_priority_addendum,inherited_arrhythmia,KCNQ1,3116,Long QT syndrome 1|Congenital long QT syndrome|not provided|Long QT syndrome|Cardiovascular phenotype|Cardiac arrhythmia,"SADS, molecular autopsy, family-risk, genotype-first, or trigger-dependent reuse context",Does the assertion require postmortem/family-risk/PRF context before deterministic reuse?,True,True,,,,,,,,,
ARR_R3,inherited_arrhythmia,SADS_PRIORITY_001,SADS_CPVT_priority_addendum,inherited_arrhythmia,KCNQ1,3116,Long QT syndrome 1|Congenital long QT syndrome|not provided|Long QT syndrome|Cardiovascular phenotype|Cardiac arrhythmia,"SADS, molecular autopsy, family-risk, genotype-first, or trigger-dependent reuse context",Does the assertion require postmortem/family-risk/PRF context before deterministic reuse?,True,True,,,,,,,,,
ARR_R4,inherited_arrhythmia,SADS_PRIORITY_001,SADS_CPVT_priority_addendum,inherited_arrhythmia,KCNQ1,3116,Long QT syndrome 1|Congenital long QT syndrome|not provided|Long QT syndrome|Cardiovascular phenotype|Cardiac arrhythmia,"SADS, molecular autopsy, family-risk, genotype-first, or trigger-dependent reuse context",Does the assertion require postmortem/family-risk/PRF context before deterministic reuse?,True,True,,,,,,,,,
ARR_R5,inherited_arrhythmia,SADS_PRIORITY_001,SADS_CPVT_priority_addendum,inherited_arrhythmia,KCNQ1,3116,Long QT syndrome 1|Congenital long QT syndrome|not provided|Long QT syndrome|Cardiovascular phenotype|Cardiac arrhythmia,"SADS, molecular autopsy, family-risk, genotype-first, or trigger-dependent reuse context",Does the assertion require postmortem/family-risk/PRF context before deterministic reuse?,True,True,,,,,,,,,
ARR_R1,inherited_arrhythmia,SADS_PRIORITY_002,SADS_CPVT_priority_addendum,inherited_arrhythmia,KCNQ1,3118,"Long QT syndrome 1|Congenital long QT syndrome|Long QT syndrome|not provided|Cardiovascular phenotype|Long QT syndrome 1;Atrial fibrillation, familial, 3;Short QT syndrome type 2;Jervell and Lange-Nielsen syndrome","SADS, molecular autopsy, family-risk, genotype-first, or trigger-dependent reuse context",Does the assertion require postmortem/family-risk/PRF context before deterministic reuse?,True,True,,,,,,,,,
ARR_R2,inherited_arrhythmia,SADS_PRIORITY_002,SADS_CPVT_priority_addendum,inherited_arrhythmia,KCNQ1,3118,"Long QT syndrome 1|Congenital long QT syndrome|Long QT syndrome|not provided|Cardiovascular phenotype|Long QT syndrome 1;Atrial fibrillation, familial, 3;Short QT syndrome type 2;Jervell and Lange-Nielsen syndrome","SADS, molecular autopsy, family-risk, genotype-first, or trigger-dependent reuse context",Does the assertion require postmortem/family-risk/PRF context before deterministic reuse?,True,True,,,,,,,,,
ARR_R3,inherited_arrhythmia,SADS_PRIORITY_002,SADS_CPVT_priority_addendum,inherited_arrhythmia,KCNQ1,3118,"Long QT syndrome 1|Congenital long QT syndrome|Long QT syndrome|not provided|Cardiovascular phenotype|Long QT syndrome 1;Atrial fibrillation, familial, 3;Short QT syndrome type 2;Jervell and Lange-Nielsen syndrome","SADS, molecular autopsy, family-risk, genotype-first, or trigger-dependent reuse context",Does the assertion require postmortem/family-risk/PRF context before deterministic reuse?,True,True,,,,,,,,,
ARR_R4,inherited_arrhythmia,SADS_PRIORITY_002,SADS_CPVT_priority_addendum,inherited_arrhythmia,KCNQ1,3118,"Long QT syndrome 1|Congenital long QT syndrome|Long QT syndrome|not provided|Cardiovascular phenotype|Long QT syndrome 1;Atrial fibrillation, familial, 3;Short QT syndrome type 2;Jervell and Lange-Nielsen syndrome","SADS, molecular autopsy, family-risk, genotype-first, or trigger-dependent reuse context",Does the assertion require postmortem/family-risk/PRF context before deterministic reuse?,True,True,,,,,,,,,
ARR_R5,inherited_arrhythmia,SADS_PRIORITY_002,SADS_CPVT_priority_addendum,inherited_arrhythmia,KCNQ1,3118,"Long QT syndrome 1|Congenital long QT syndrome|Long QT syndrome|not provided|Cardiovascular phenotype|Long QT syndrome 1;Atrial fibrillation, familial, 3;Short QT syndrome type 2;Jervell and Lange-Nielsen syndrome","SADS, molecular autopsy, family-risk, genotype-first, or trigger-dependent reuse context",Does the assertion require postmortem/family-risk/PRF context before deterministic reuse?,True,True,,,,,,,,,
