reviewer_id,reviewer_domain,blinded_case_id,assignment_type,case_domain,gene,variant_identifier,baseline_condition_label,target_context,primary_expert_endpoint_question,arrhythmia_high_value_gene,sads_cpvt_priority,portable_without_additional_interpretation,confidence_1_to_5,requires_disease_specific_review,requires_population_or_penetrance_context,requires_genotype_first_or_trigger_context,not_adjudicable,not_adjudicable_reason,short_rationale,review_minutes
HC_R1,hereditary_cancer,CABCASE_EE58079779,core_400_casebook,hereditary_cancer,MSH6,CANCER_1456457,,direct reuse in the stated baseline disease context,"Can this P/LP assertion be reused in the specified target context without additional disease-specific, population/penetrance, genotype-first, or contextual reinterpretation?",False,False,,,,,,,,,
HC_R2,hereditary_cancer,CABCASE_EE58079779,core_400_casebook,hereditary_cancer,MSH6,CANCER_1456457,,direct reuse in the stated baseline disease context,"Can this P/LP assertion be reused in the specified target context without additional disease-specific, population/penetrance, genotype-first, or contextual reinterpretation?",False,False,,,,,,,,,
HC_R3,hereditary_cancer,CABCASE_EE58079779,core_400_casebook,hereditary_cancer,MSH6,CANCER_1456457,,direct reuse in the stated baseline disease context,"Can this P/LP assertion be reused in the specified target context without additional disease-specific, population/penetrance, genotype-first, or contextual reinterpretation?",False,False,,,,,,,,,
HC_R1,hereditary_cancer,CABCASE_0552D30386,core_400_casebook,hereditary_cancer,ATM,CANCER_1400987,,direct reuse in the stated baseline disease context,"Can this P/LP assertion be reused in the specified target context without additional disease-specific, population/penetrance, genotype-first, or contextual reinterpretation?",False,False,,,,,,,,,
HC_R2,hereditary_cancer,CABCASE_0552D30386,core_400_casebook,hereditary_cancer,ATM,CANCER_1400987,,direct reuse in the stated baseline disease context,"Can this P/LP assertion be reused in the specified target context without additional disease-specific, population/penetrance, genotype-first, or contextual reinterpretation?",False,False,,,,,,,,,
HC_R3,hereditary_cancer,CABCASE_0552D30386,core_400_casebook,hereditary_cancer,ATM,CANCER_1400987,,direct reuse in the stated baseline disease context,"Can this P/LP assertion be reused in the specified target context without additional disease-specific, population/penetrance, genotype-first, or contextual reinterpretation?",False,False,,,,,,,,,
HC_R1,hereditary_cancer,CABCASE_4DADD826D5,core_400_casebook,hereditary_cancer,APC,CANCER_449336,,direct reuse in the stated baseline disease context,"Can this P/LP assertion be reused in the specified target context without additional disease-specific, population/penetrance, genotype-first, or contextual reinterpretation?",False,False,,,,,,,,,
HC_R2,hereditary_cancer,CABCASE_4DADD826D5,core_400_casebook,hereditary_cancer,APC,CANCER_449336,,direct reuse in the stated baseline disease context,"Can this P/LP assertion be reused in the specified target context without additional disease-specific, population/penetrance, genotype-first, or contextual reinterpretation?",False,False,,,,,,,,,
HC_R3,hereditary_cancer,CABCASE_4DADD826D5,core_400_casebook,hereditary_cancer,APC,CANCER_449336,,direct reuse in the stated baseline disease context,"Can this P/LP assertion be reused in the specified target context without additional disease-specific, population/penetrance, genotype-first, or contextual reinterpretation?",False,False,,,,,,,,,
HC_R1,hereditary_cancer,CABCASE_DD544E5E7B,core_400_casebook,hereditary_cancer,CDH1,CANCER_1522673,,direct reuse in the stated baseline disease context,"Can this P/LP assertion be reused in the specified target context without additional disease-specific, population/penetrance, genotype-first, or contextual reinterpretation?",False,False,,,,,,,,,
