assertion_id,variation_id,gene,baseline_portability_score,baseline_nonportability_score,baseline_regime_primary,baseline_architecture_family,baseline_regime_assignment_reason,baseline_collision_flag,baseline_underresolved_flag,baseline_nonspecific_flag,baseline_structural_electrical_flag,baseline_conduction_overlap_flag,baseline_syndromic_metabolic_overlap_flag,baseline_broad_ambiguous_condition_flag
CM_1002513,1002513,TPM1,87.0,13.0,sarcomeric_phenotype_anchored_baseline,baseline_phenotype_anchored,sarcomeric_gene_HCM_baseline,False,False,False,False,False,False,False
CM_100690,100690,LMNA,42.0,58.0,nonspecific_cardiomyopathy_baseline,baseline_underresolved_contextual,nonspecific_or_unknown_baseline_environment,False,True,True,False,False,False,False
CM_1010089,1010089,LMNA,42.0,58.0,nonspecific_cardiomyopathy_baseline,baseline_underresolved_contextual,nonspecific_or_unknown_baseline_environment,False,True,True,False,False,False,False
CM_1012333,1012333,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1012334,1012334,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1012335,1012335,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1012336,1012336,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1012338,1012338,DSP,30.0,70.0,nonspecific_cardiomyopathy_baseline,baseline_underresolved_contextual,broad_or_ambiguous_baseline_label|nonspecific_or_unknown_baseline_environment,False,True,True,False,False,False,True
CM_1012339,1012339,DSP,30.0,70.0,nonspecific_cardiomyopathy_baseline,baseline_underresolved_contextual,broad_or_ambiguous_baseline_label|nonspecific_or_unknown_baseline_environment,False,True,True,False,False,False,True
CM_1012347,1012347,TPM1,87.0,13.0,sarcomeric_phenotype_anchored_baseline,baseline_phenotype_anchored,sarcomeric_gene_cardiomyopathy_baseline,False,False,False,False,False,False,False
CM_1012348,1012348,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1012349,1012349,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1012350,1012350,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1012351,1012351,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1012352,1012352,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1012353,1012353,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1012354,1012354,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1012355,1012355,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1012357,1012357,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1012358,1012358,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1013320,1013320,MYBPC3,25.0,75.0,nonspecific_cardiomyopathy_baseline,baseline_underresolved_contextual,broad_or_ambiguous_baseline_label|nonspecific_or_unknown_baseline_environment,False,True,True,False,False,False,True
CM_1013436,1013436,TTN,25.0,75.0,nonspecific_cardiomyopathy_baseline,baseline_underresolved_contextual,broad_or_ambiguous_baseline_label|nonspecific_or_unknown_baseline_environment,False,True,True,False,False,False,True
CM_1025130,1025130,FLNC,47.0,53.0,cardiomyopathy_model_collision_baseline,baseline_model_collision,baseline_labels_span_multiple_environments,True,False,False,False,False,False,False
CM_1027653,1027653,MYBPC3,82.0,18.0,sarcomeric_phenotype_anchored_baseline,baseline_phenotype_anchored,sarcomeric_gene_HCM_baseline,False,False,False,False,False,False,False
CM_1027654,1027654,MYBPC3,82.0,18.0,sarcomeric_phenotype_anchored_baseline,baseline_phenotype_anchored,sarcomeric_gene_HCM_baseline,False,False,False,False,False,False,False
CM_1027658,1027658,MYH7,87.0,13.0,sarcomeric_phenotype_anchored_baseline,baseline_phenotype_anchored,sarcomeric_gene_cardiomyopathy_baseline,False,False,False,False,False,False,False
CM_1027660,1027660,FLNC,57.0,43.0,underresolved_contextual_baseline,baseline_underresolved_contextual,baseline_context_not_specific_enough_for_other_regimes,False,True,False,False,False,False,False
CM_1029072,1029072,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1029099,1029099,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1029101,1029101,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1030165,1030165,TTN,43.0,57.0,nonspecific_cardiomyopathy_baseline,baseline_underresolved_contextual,broad_or_ambiguous_baseline_label|nonspecific_or_unknown_baseline_environment,False,True,True,False,False,False,True
CM_1030169,1030169,TTN,37.0,63.0,nonspecific_cardiomyopathy_baseline,baseline_underresolved_contextual,nonspecific_or_unknown_baseline_environment,False,True,True,False,False,False,False
CM_1031603,1031603,TTN,70.0,30.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1034083,1034083,DSP,67.0,33.0,arrhythmogenic_structural_electrical_baseline,baseline_structural_electrical_overlap,structural_electrical_gene_ARVC_baseline,False,False,False,True,False,False,False
CM_1048771,1048771,TTN,43.0,57.0,nonspecific_cardiomyopathy_baseline,baseline_underresolved_contextual,broad_or_ambiguous_baseline_label|nonspecific_or_unknown_baseline_environment,False,True,True,False,False,False,True
CM_1061173,1061173,TTN,70.0,30.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1064523,1064523,TTN,25.0,75.0,nonspecific_cardiomyopathy_baseline,baseline_underresolved_contextual,broad_or_ambiguous_baseline_label|nonspecific_or_unknown_baseline_environment,False,True,True,False,False,False,True
CM_1065188,1065188,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1065189,1065189,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1065190,1065190,TTN,60.0,40.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1065191,1065191,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1065192,1065192,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1065528,1065528,RBM20,57.0,43.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1065619,1065619,MYH7,57.0,43.0,underresolved_contextual_baseline,baseline_underresolved_contextual,baseline_context_not_specific_enough_for_other_regimes,False,True,False,False,False,False,False
CM_1065901,1065901,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1065903,1065903,TTN,70.0,30.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1065910,1065910,TTN,70.0,30.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1065919,1065919,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1065920,1065920,TTN,60.0,40.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1065927,1065927,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1065929,1065929,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1065946,1065946,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1065955,1065955,TTN,70.0,30.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1065959,1065959,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066001,1066001,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066007,1066007,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066012,1066012,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066035,1066035,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066067,1066067,TTN,70.0,30.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066079,1066079,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066084,1066084,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066090,1066090,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066091,1066091,TTN,70.0,30.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066092,1066092,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066110,1066110,TTN,60.0,40.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066116,1066116,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066124,1066124,FLNC,47.0,53.0,cardiomyopathy_model_collision_baseline,baseline_model_collision,baseline_labels_span_multiple_environments,True,False,False,False,False,False,False
CM_1066131,1066131,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066160,1066160,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066161,1066161,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066165,1066165,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066192,1066192,TTN,60.0,40.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066195,1066195,BAG3,57.0,43.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066242,1066242,TTN,70.0,30.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066247,1066247,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066248,1066248,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066282,1066282,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066283,1066283,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066284,1066284,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066354,1066354,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066387,1066387,DSP,67.0,33.0,arrhythmogenic_structural_electrical_baseline,baseline_structural_electrical_overlap,structural_electrical_gene_ARVC_baseline,False,False,False,True,False,False,False
CM_1066391,1066391,LMNA,42.0,58.0,nonspecific_cardiomyopathy_baseline,baseline_underresolved_contextual,nonspecific_or_unknown_baseline_environment,False,True,True,False,False,False,False
CM_1066392,1066392,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066406,1066406,DSP,85.0,15.0,arrhythmogenic_structural_electrical_baseline,baseline_structural_electrical_overlap,structural_electrical_gene_ARVC_baseline,False,False,False,True,False,False,False
CM_1066457,1066457,FLNC,47.0,53.0,cardiomyopathy_model_collision_baseline,baseline_model_collision,baseline_labels_span_multiple_environments,True,False,False,False,False,False,False
CM_1066470,1066470,DES,42.0,58.0,nonspecific_cardiomyopathy_baseline,baseline_underresolved_contextual,nonspecific_or_unknown_baseline_environment,False,True,True,False,False,False,False
CM_1066477,1066477,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066478,1066478,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066489,1066489,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066509,1066509,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066510,1066510,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066608,1066608,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066616,1066616,TTN,52.0,48.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
CM_1066644,1066644,TTN,70.0,30.0,dilated_conduction_overlap_baseline,baseline_conduction_or_structural_overlap,DCM_conduction_sudden_death_gene_context,False,False,False,True,True,False,False
