external_resource,external_variant_or_gene,gene,variation_id,ClinVar_phenotype_label,external_phenotype_label,concordance_discordance_category,CAB_routing_implication,licensing_or_access_status
LOVD feasibility,DSP:CM_861912,DSP,CM_861912,ARVC/ACM,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,APC:CANCER_428155,APC,CANCER_428155,colorectal cancer / polyposis,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,direct_use,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD feasibility,DSC2:CM_961444,DSC2,CM_961444,other/unknown,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,MLH1:CANCER_89941,MLH1,CANCER_89941,Lynch syndrome / mismatch repair cancer predisposition,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,BMPR1A:CANCER_571137,BMPR1A,CANCER_571137,colorectal cancer / polyposis,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,direct_use,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,BRCA2:CANCER_802953,BRCA2,CANCER_802953,hereditary breast/ovarian cancer,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,BRCA1:CANCER_1315518,BRCA1,CANCER_1315518,hereditary breast/ovarian cancer,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,BRCA1:CANCER_865068,BRCA1,CANCER_865068,hereditary breast/ovarian cancer,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,MLH1:CANCER_90407,MLH1,CANCER_90407,Lynch syndrome / mismatch repair cancer predisposition,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,BRCA1:CANCER_409314,BRCA1,CANCER_409314,hereditary breast/ovarian cancer,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
