assertion_id,ClinVar VariationID,gene,condition label,classification,review status,submitter count,baseline environment,domain,source date,ClinVar LastEvaluated,new_or_updated_status,source_file,registry_note
PROSP_CLV_67,67,UROD,"Familial porphyria cutanea tarda|Thyroid cancer, nonmedullary, 1|not provided",Pathogenic,"criteria provided, multiple submitters, no conflicts",5,"Familial porphyria cutanea tarda|Thyroid cancer, nonmedullary, 1|not provided",hereditary_cancer,2026-05-05,"Aug 19, 2025",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_336,336,NF1,"Neurofibromatosis, type 1|not provided|Optic nerve glioma;Cafe au lait spots, multiple;Axillary freckling;Neurofibroma|Juvenile myelomonocytic leukemia;Neurofibromatosis, familial spinal;Café-au-lait macules with pulmonary stenosis;Neurofibromatosis-Noonan syndrome;Neurofibromatosis, type 1|Pheochromocytoma|Hereditary cancer-predisposing syndrome;Cardiovascular phenotype|Juvenile myelomonocytic leukemia|Café-au-lait macules with pulmonary stenosis|Ovarian serous cystadenocarcinoma",Pathogenic,"criteria provided, multiple submitters, no conflicts",24,"Neurofibromatosis, type 1|not provided|Optic nerve glioma;Cafe au lait spots, multiple;Axillary freckling;Neurofibroma|Juvenile myelomonocytic leukemia;Neurofibromatosis, familial spinal;Café-au-lait macules with pulmonary stenosis;Neurofibromatosis-Noonan syndrome;Neurofibromatosis, type 1|Pheochromocytoma|Hereditary cancer-predisposing syndrome;Cardiovascular phenotype|Juvenile myelomonocytic leukemia|Café-au-lait macules with pulmonary stenosis|Ovarian serous cystadenocarcinoma",hereditary_cancer,2026-05-05,"Apr 01, 2026",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_343,343,NF1,"Neurofibromatosis, type 1|not provided|Hereditary cancer-predisposing syndrome|Juvenile myelomonocytic leukemia;Neurofibromatosis, familial spinal;Café-au-lait macules with pulmonary stenosis;Neurofibromatosis, type 1;Neurofibromatosis-Noonan syndrome|Neurofibromatosis, type 1;Tibial pseudarthrosis|Juvenile myelomonocytic leukemia|NF1-related disorder|Hereditary cancer-predisposing syndrome;Cardiovascular phenotype|Neurofibromatosis-Noonan syndrome|Neoplasm",Pathogenic,"criteria provided, multiple submitters, no conflicts",22,"Neurofibromatosis, type 1|not provided|Hereditary cancer-predisposing syndrome|Juvenile myelomonocytic leukemia;Neurofibromatosis, familial spinal;Café-au-lait macules with pulmonary stenosis;Neurofibromatosis, type 1;Neurofibromatosis-Noonan syndrome|Neurofibromatosis, type 1;Tibial pseudarthrosis|Juvenile myelomonocytic leukemia|NF1-related disorder|Hereditary cancer-predisposing syndrome;Cardiovascular phenotype|Neurofibromatosis-Noonan syndrome|Neoplasm",hereditary_cancer,2026-05-05,"Dec 30, 2025",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_344,344,NF1,"Neurofibromatosis, type 1|not provided|Hereditary cancer-predisposing syndrome|Neurofibromatosis, familial spinal;Neurofibromatosis-Noonan syndrome;Café-au-lait macules with pulmonary stenosis;Juvenile myelomonocytic leukemia;Neurofibromatosis, type 1",Pathogenic,"criteria provided, multiple submitters, no conflicts",22,"Neurofibromatosis, type 1|not provided|Hereditary cancer-predisposing syndrome|Neurofibromatosis, familial spinal;Neurofibromatosis-Noonan syndrome;Café-au-lait macules with pulmonary stenosis;Juvenile myelomonocytic leukemia;Neurofibromatosis, type 1",hereditary_cancer,2026-05-05,"Feb 03, 2026",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_345,345,NF1,"Neurofibromatosis, type 1|not provided|Cardiovascular phenotype;Hereditary cancer-predisposing syndrome|NF1-related disorder|Tibial pseudarthrosis;Neurofibromatosis, type 1|Hereditary cancer-predisposing syndrome",Pathogenic,"criteria provided, multiple submitters, no conflicts",19,"Neurofibromatosis, type 1|not provided|Cardiovascular phenotype;Hereditary cancer-predisposing syndrome|NF1-related disorder|Tibial pseudarthrosis;Neurofibromatosis, type 1|Hereditary cancer-predisposing syndrome",hereditary_cancer,2026-05-05,"Jan 11, 2026",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_346,346,NF1,"Neurofibromatosis, type 1|Hereditary cancer-predisposing syndrome|not provided|Neurofibromatosis-Noonan syndrome|Juvenile myelomonocytic leukemia|NF1-related disorder|Juvenile myelomonocytic leukemia;Neurofibromatosis, familial spinal;Café-au-lait macules with pulmonary stenosis;Neurofibromatosis-Noonan syndrome;Neurofibromatosis, type 1",Pathogenic,"criteria provided, multiple submitters, no conflicts",32,"Neurofibromatosis, type 1|Hereditary cancer-predisposing syndrome|not provided|Neurofibromatosis-Noonan syndrome|Juvenile myelomonocytic leukemia|NF1-related disorder|Juvenile myelomonocytic leukemia;Neurofibromatosis, familial spinal;Café-au-lait macules with pulmonary stenosis;Neurofibromatosis-Noonan syndrome;Neurofibromatosis, type 1",hereditary_cancer,2026-05-05,"Apr 01, 2026",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_348,348,NF1,"Neurofibromatosis, type 1|Cardiovascular phenotype;Hereditary cancer-predisposing syndrome|not provided",Pathogenic/Likely pathogenic,"criteria provided, multiple submitters, no conflicts",7,"Neurofibromatosis, type 1|Cardiovascular phenotype;Hereditary cancer-predisposing syndrome|not provided",hereditary_cancer,2026-05-05,"Aug 04, 2025",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_350,350,NF1,"Juvenile myelomonocytic leukemia|Neurofibromatosis, type 1|not provided|Neoplasm|Cardiovascular phenotype;Hereditary cancer-predisposing syndrome",Pathogenic,"criteria provided, multiple submitters, no conflicts",7,"Juvenile myelomonocytic leukemia|Neurofibromatosis, type 1|not provided|Neoplasm|Cardiovascular phenotype;Hereditary cancer-predisposing syndrome",hereditary_cancer,2026-05-05,"Nov 10, 2025",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_353,353,NF1,"Neurofibromatosis, type 1|not provided|Cardiovascular phenotype;Hereditary cancer-predisposing syndrome|Embryonal rhabdomyosarcoma",Pathogenic/Likely pathogenic,"criteria provided, multiple submitters, no conflicts",7,"Neurofibromatosis, type 1|not provided|Cardiovascular phenotype;Hereditary cancer-predisposing syndrome|Embryonal rhabdomyosarcoma",hereditary_cancer,2026-05-05,"Mar 04, 2025",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_354,354,NF1,"Neurofibromatosis, type 1|Hereditary cancer-predisposing syndrome|not provided|Tibial pseudarthrosis;Neurofibromatosis, type 1|Rhabdomyosarcoma|Abnormality of the skin|Juvenile myelomonocytic leukemia;Neurofibromatosis, familial spinal;Café-au-lait macules with pulmonary stenosis;Neurofibromatosis-Noonan syndrome;Neurofibromatosis, type 1|Juvenile myelomonocytic leukemia|NF1-related disorder|Neurofibromatosis-Noonan syndrome|Meningioma",Pathogenic,"criteria provided, multiple submitters, no conflicts",34,"Neurofibromatosis, type 1|Hereditary cancer-predisposing syndrome|not provided|Tibial pseudarthrosis;Neurofibromatosis, type 1|Rhabdomyosarcoma|Abnormality of the skin|Juvenile myelomonocytic leukemia;Neurofibromatosis, familial spinal;Café-au-lait macules with pulmonary stenosis;Neurofibromatosis-Noonan syndrome;Neurofibromatosis, type 1|Juvenile myelomonocytic leukemia|NF1-related disorder|Neurofibromatosis-Noonan syndrome|Meningioma",hereditary_cancer,2026-05-05,"Apr 01, 2026",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_361,361,NF1,"Neurofibromatosis, type 1|Inborn genetic diseases|not provided|Juvenile myelomonocytic leukemia|NF1-related disorder|Neoplasm",Pathogenic,"criteria provided, multiple submitters, no conflicts",27,"Neurofibromatosis, type 1|Inborn genetic diseases|not provided|Juvenile myelomonocytic leukemia|NF1-related disorder|Neoplasm",hereditary_cancer,2026-05-05,"Jan 26, 2026",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
