blinded_case_id,assertion_id,domain,gene,variant_identifier,sample_bucket,CAB_regime,CAB_routing_action,reason_code,followup_condition_label,condition_label_drift,cross_environment_drift,semantic_drift_without_reclassification,conservative_composite_non_portability,identity_vs_meaning_discordance,expected_expert_decision_category,endpoint_status_hidden_shown_flag,key_scope
CABCASE_EE58079779,CANCER_1456457,hereditary_cancer,MSH6,CANCER_1456457,CAB direct-use,nonspecific_underresolved,direct_use,broad or unknown phenotype/environment label, / follow-up semantic drift,True,False,True,True,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_0552D30386,CANCER_1400987,hereditary_cancer,ATM,CANCER_1400987,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label, / follow-up semantic drift,True,True,True,True,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_4DADD826D5,CANCER_449336,hereditary_cancer,APC,CANCER_449336,CAB direct-use,nonspecific_underresolved,direct_use,broad or unknown phenotype/environment label, / follow-up semantic drift,True,False,True,True,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_DD544E5E7B,CANCER_1522673,hereditary_cancer,CDH1,CANCER_1522673,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label, / follow-up semantic drift,True,False,True,True,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_5AA963BDFA,CANCER_978679,hereditary_cancer,BMPR1A,CANCER_978679,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_F5C6EB77EF,CANCER_625592,hereditary_cancer,PTEN,CANCER_625592,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_A9BD165D8D,CANCER_971037,hereditary_cancer,APC,CANCER_971037,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_C75C3AE975,CANCER_1012192,hereditary_cancer,APC,CANCER_1012192,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_9E84C78DD2,CANCER_89799,hereditary_cancer,MLH1,CANCER_89799,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_3FE04E8F91,CANCER_126644,hereditary_cancer,PALB2,CANCER_126644,CAB direct-use,nonspecific_underresolved,direct_use,broad or unknown phenotype/environment label, / follow-up semantic drift,True,False,True,True,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_3AC41252CA,CANCER_831701,hereditary_cancer,MSH6,CANCER_831701,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_6C3974AE63,CANCER_232547,hereditary_cancer,CHEK2,CANCER_232547,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_2919B74687,CANCER_662776,hereditary_cancer,ATM,CANCER_662776,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_FDE6EF6182,CANCER_984390,hereditary_cancer,MSH2,CANCER_984390,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_8F93D69671,CANCER_657303,hereditary_cancer,PALB2,CANCER_657303,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_CD7292F75D,CANCER_845797,hereditary_cancer,STK11,CANCER_845797,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_DC5F1FDE18,CANCER_1323665,hereditary_cancer,ATM,CANCER_1323665,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label, / follow-up semantic drift,True,True,True,True,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_8131FD8D56,CANCER_959858,hereditary_cancer,CHEK2,CANCER_959858,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label, / follow-up semantic drift,True,False,True,True,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_8CA352B7F3,CANCER_1455576,hereditary_cancer,ATM,CANCER_1455576,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_CE982E16C8,CM_217473,cardiomyopathy,MYH7,CM_217473,CAB direct-use,phenotype_anchored_monogenic,direct_use,canonical gene-disease membership without boundary flags,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_2A75CEF185,CANCER_654771,hereditary_cancer,STK11,CANCER_654771,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_11A6FAE7AC,CM_454357,cardiomyopathy,MYH7,CM_454357,CAB direct-use,phenotype_anchored_monogenic,direct_use,canonical gene-disease membership without boundary flags,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_0D9C98BCC3,CANCER_1458151,hereditary_cancer,PTEN,CANCER_1458151,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
