snapshot_date,file_available,source_url_or_path,file_type,md5_or_sha256,variant_summary_available,submission_summary_available,XML_available,notes
2015-02,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2015/variant_summary_2015-02.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,no,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
2015-03,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2015/variant_summary_2015-03.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,no,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
2015-04,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2015/variant_summary_2015-04.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,no,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
2015-05,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2015/variant_summary_2015-05.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,no,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
2015-06,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2015/variant_summary_2015-06.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,no,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
2015-07,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2015/variant_summary_2015-07.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,no,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
2015-08,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2015/variant_summary_2015-08.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,no,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
2015-09,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2015/variant_summary_2015-09.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,no,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
2015-10,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2015/variant_summary_2015-10.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,no,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
2015-11,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2015/variant_summary_2015-11.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,no,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
2015-12,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2015/variant_summary_2015-12.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,no,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
2016-01,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2016/variant_summary_2016-01.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,no,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
2016-02,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2016/variant_summary_2016-02.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,no,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
2016-03,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2016/variant_summary_2016-03.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,no,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
2016-04,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2016/variant_summary_2016-04.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,no,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
2016-05,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2016/variant_summary_2016-05.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,no,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
2016-06,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2016/variant_summary_2016-06.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,no,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
2016-07,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2016/variant_summary_2016-07.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,no,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
2016-08,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2016/variant_summary_2016-08.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,yes,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
2016-09,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2016/variant_summary_2016-09.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,yes,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
2016-10,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2016/variant_summary_2016-10.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,yes,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
2016-11,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2016/variant_summary_2016-11.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,yes,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
2016-12,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2016/variant_summary_2016-12.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,yes,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
2017-01,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2017/variant_summary_2017-01.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,yes,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
2017-02,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2017/variant_summary_2017-02.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,yes,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
2017-03,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2017/variant_summary_2017-03.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,yes,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
2017-04,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2017/variant_summary_2017-04.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,yes,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
2017-05,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2017/variant_summary_2017-05.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,yes,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
2017-06,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2017/variant_summary_2017-06.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,yes,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
2017-07,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2017/variant_summary_2017-07.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,yes,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
2017-08,yes,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2017/variant_summary_2017-08.txt.gz,tab_delimited_variant_summary_txt_gz,remote_checksum_not_published_in_archive_index,yes,yes,no,Monthly archived ClinVar tab-delimited snapshot; use only as baseline for that origin. XML mirror not available in inspected archive.
