assertion_id,domain,variation_id,gene,input_condition_label,normalized_condition_label,baseline_environment,classification,review_status,submitter_count,cab_portability_regime,cab_portability_score,cab_mode,direct_deterministic_use_allowed,routing_decision_source,routing_primary_action,routing_secondary_flags,unsupported_reuse_risk,cross_environment_drift_risk,condition_label_drift_risk,warning_codes,explanation_short,evidence_fields_used,limitations
ARR_1325231,inherited_arrhythmia,ARR_1325231,TRDN,,,unknown,,,0,unavailable,41.0,ClinVar-label-only,True,clinvar_label_only_assumes_direct_use,direct_deterministic_use,weak_submitter_support|low_portability_score,0.3692,0.1446,0.3692,LOW_SUBMITTER_SUPPORT|LOW_PORTABILITY_SCORE,ClinVar-label-only used clinvar_label_only_assumes_direct_use; action=direct_deterministic_use; direct_use_allowed=True.,gene|input_condition_label|baseline_environment|classification|review_status|submitter_count|cab_portability_regime|cab_portability_score|direct_single_model_reuse_allowed,research_use_only|not_diagnostic|does_not_reclassify_variants|does_not_replace_ACMG_AMP_or_expert_curation|external_expert_adjudication_pending
ARR_1074440,inherited_arrhythmia,ARR_1074440,TRDN,,,unknown,,,0,unavailable,26.0,ClinVar-label-only,True,clinvar_label_only_assumes_direct_use,direct_deterministic_use,weak_submitter_support|low_portability_score,0.3692,0.1446,0.3692,LOW_SUBMITTER_SUPPORT|LOW_PORTABILITY_SCORE,ClinVar-label-only used clinvar_label_only_assumes_direct_use; action=direct_deterministic_use; direct_use_allowed=True.,gene|input_condition_label|baseline_environment|classification|review_status|submitter_count|cab_portability_regime|cab_portability_score|direct_single_model_reuse_allowed,research_use_only|not_diagnostic|does_not_reclassify_variants|does_not_replace_ACMG_AMP_or_expert_curation|external_expert_adjudication_pending
ARR_1027323,inherited_arrhythmia,ARR_1027323,KCNH2,,,unknown,,,0,unavailable,49.0,ClinVar-label-only,True,clinvar_label_only_assumes_direct_use,direct_deterministic_use,weak_submitter_support|low_portability_score,0.3692,0.1446,0.3692,LOW_SUBMITTER_SUPPORT|LOW_PORTABILITY_SCORE,ClinVar-label-only used clinvar_label_only_assumes_direct_use; action=direct_deterministic_use; direct_use_allowed=True.,gene|input_condition_label|baseline_environment|classification|review_status|submitter_count|cab_portability_regime|cab_portability_score|direct_single_model_reuse_allowed,research_use_only|not_diagnostic|does_not_reclassify_variants|does_not_replace_ACMG_AMP_or_expert_curation|external_expert_adjudication_pending
ARR_1766367,inherited_arrhythmia,ARR_1766367,CASQ2,,,unknown,,,0,unavailable,17.0,ClinVar-label-only,True,clinvar_label_only_assumes_direct_use,direct_deterministic_use,weak_submitter_support|low_portability_score,0.3692,0.1446,0.3692,LOW_SUBMITTER_SUPPORT|LOW_PORTABILITY_SCORE,ClinVar-label-only used clinvar_label_only_assumes_direct_use; action=direct_deterministic_use; direct_use_allowed=True.,gene|input_condition_label|baseline_environment|classification|review_status|submitter_count|cab_portability_regime|cab_portability_score|direct_single_model_reuse_allowed,research_use_only|not_diagnostic|does_not_reclassify_variants|does_not_replace_ACMG_AMP_or_expert_curation|external_expert_adjudication_pending
ARR_1395670,inherited_arrhythmia,ARR_1395670,KCNQ1,,,unknown,,,0,unavailable,32.0,ClinVar-label-only,True,clinvar_label_only_assumes_direct_use,direct_deterministic_use,weak_submitter_support|low_portability_score,0.3692,0.1446,0.3692,LOW_SUBMITTER_SUPPORT|LOW_PORTABILITY_SCORE,ClinVar-label-only used clinvar_label_only_assumes_direct_use; action=direct_deterministic_use; direct_use_allowed=True.,gene|input_condition_label|baseline_environment|classification|review_status|submitter_count|cab_portability_regime|cab_portability_score|direct_single_model_reuse_allowed,research_use_only|not_diagnostic|does_not_reclassify_variants|does_not_replace_ACMG_AMP_or_expert_curation|external_expert_adjudication_pending
ARR_1427034,inherited_arrhythmia,ARR_1427034,TRDN,,,unknown,,,0,unavailable,44.0,ClinVar-label-only,True,clinvar_label_only_assumes_direct_use,direct_deterministic_use,weak_submitter_support|low_portability_score,0.3692,0.1446,0.3692,LOW_SUBMITTER_SUPPORT|LOW_PORTABILITY_SCORE,ClinVar-label-only used clinvar_label_only_assumes_direct_use; action=direct_deterministic_use; direct_use_allowed=True.,gene|input_condition_label|baseline_environment|classification|review_status|submitter_count|cab_portability_regime|cab_portability_score|direct_single_model_reuse_allowed,research_use_only|not_diagnostic|does_not_reclassify_variants|does_not_replace_ACMG_AMP_or_expert_curation|external_expert_adjudication_pending
ARR_1070395,inherited_arrhythmia,ARR_1070395,TRDN,,,unknown,,,0,unavailable,44.0,ClinVar-label-only,True,clinvar_label_only_assumes_direct_use,direct_deterministic_use,weak_submitter_support|low_portability_score,0.3692,0.1446,0.3692,LOW_SUBMITTER_SUPPORT|LOW_PORTABILITY_SCORE,ClinVar-label-only used clinvar_label_only_assumes_direct_use; action=direct_deterministic_use; direct_use_allowed=True.,gene|input_condition_label|baseline_environment|classification|review_status|submitter_count|cab_portability_regime|cab_portability_score|direct_single_model_reuse_allowed,research_use_only|not_diagnostic|does_not_reclassify_variants|does_not_replace_ACMG_AMP_or_expert_curation|external_expert_adjudication_pending
ARR_427946,inherited_arrhythmia,ARR_427946,CASQ2,,,unknown,,,0,unavailable,11.0,ClinVar-label-only,True,clinvar_label_only_assumes_direct_use,direct_deterministic_use,weak_submitter_support|low_portability_score,0.3692,0.1446,0.3692,LOW_SUBMITTER_SUPPORT|LOW_PORTABILITY_SCORE,ClinVar-label-only used clinvar_label_only_assumes_direct_use; action=direct_deterministic_use; direct_use_allowed=True.,gene|input_condition_label|baseline_environment|classification|review_status|submitter_count|cab_portability_regime|cab_portability_score|direct_single_model_reuse_allowed,research_use_only|not_diagnostic|does_not_reclassify_variants|does_not_replace_ACMG_AMP_or_expert_curation|external_expert_adjudication_pending
ARR_871731,inherited_arrhythmia,ARR_871731,KCNQ1,,,unknown,,,0,unavailable,40.0,ClinVar-label-only,True,clinvar_label_only_assumes_direct_use,direct_deterministic_use,weak_submitter_support|low_portability_score,0.3692,0.1446,0.3692,LOW_SUBMITTER_SUPPORT|LOW_PORTABILITY_SCORE,ClinVar-label-only used clinvar_label_only_assumes_direct_use; action=direct_deterministic_use; direct_use_allowed=True.,gene|input_condition_label|baseline_environment|classification|review_status|submitter_count|cab_portability_regime|cab_portability_score|direct_single_model_reuse_allowed,research_use_only|not_diagnostic|does_not_reclassify_variants|does_not_replace_ACMG_AMP_or_expert_curation|external_expert_adjudication_pending
ARR_519365,inherited_arrhythmia,ARR_519365,CASQ2,,,unknown,,,0,unavailable,59.0,ClinVar-label-only,True,clinvar_label_only_assumes_direct_use,direct_deterministic_use,weak_submitter_support,0.3692,0.1446,0.3692,LOW_SUBMITTER_SUPPORT,ClinVar-label-only used clinvar_label_only_assumes_direct_use; action=direct_deterministic_use; direct_use_allowed=True.,gene|input_condition_label|baseline_environment|classification|review_status|submitter_count|cab_portability_regime|cab_portability_score|direct_single_model_reuse_allowed,research_use_only|not_diagnostic|does_not_reclassify_variants|does_not_replace_ACMG_AMP_or_expert_curation|external_expert_adjudication_pending
ARR_1523438,inherited_arrhythmia,ARR_1523438,CASQ2,,,unknown,,,0,unavailable,35.0,ClinVar-label-only,True,clinvar_label_only_assumes_direct_use,direct_deterministic_use,weak_submitter_support|low_portability_score,0.3692,0.1446,0.3692,LOW_SUBMITTER_SUPPORT|LOW_PORTABILITY_SCORE,ClinVar-label-only used clinvar_label_only_assumes_direct_use; action=direct_deterministic_use; direct_use_allowed=True.,gene|input_condition_label|baseline_environment|classification|review_status|submitter_count|cab_portability_regime|cab_portability_score|direct_single_model_reuse_allowed,research_use_only|not_diagnostic|does_not_reclassify_variants|does_not_replace_ACMG_AMP_or_expert_curation|external_expert_adjudication_pending
