assertion_id,variation_id,gene,condition_label_followup,followup_environment_v2,classification_change,condition_label_change,cross_environment_drift,within_environment_label_drift,self_loop_stable,review_status_change,submitter_count_change,any_meaning_drift,semantic_drift_without_reclassification
CM_1002513,1002513,TPM1,Hypertrophic cardiomyopathy,HCM,False,False,False,False,True,False,False,False,False
CM_100690,100690,LMNA,Mandibuloacral dysplasia with type A lipodystrophy,other/unknown,False,False,False,False,True,False,False,False,False
CM_1010089,1010089,LMNA,Charcot-Marie-Tooth disease type 2,other/unknown,False,False,False,False,True,False,False,False,False
CM_1012333,1012333,TTN,Dilated cardiomyopathy 1G,DCM,False,False,False,False,True,False,False,False,False
CM_1012334,1012334,TTN,Dilated cardiomyopathy 1G;Autosomal recessive limb-girdle muscular dystrophy type 2J,DCM,False,True,False,True,True,True,True,True,True
CM_1012335,1012335,TTN,Dilated cardiomyopathy 1G,DCM,False,False,False,False,True,False,False,False,False
CM_1012336,1012336,TTN,Dilated cardiomyopathy 1G,DCM,False,False,False,False,True,False,False,False,False
CM_1012338,1012338,DSP,"Cardiomyopathy, dilated, with wooly hair, keratoderma, and tooth agenesis;Arrhythmogenic cardiomyopathy with wooly hair and keratoderma;Arrhythmogenic right ventricular dysplasia 8",ARVC/ACM,False,True,True,False,False,True,True,True,True
CM_1012339,1012339,DSP,"Cardiomyopathy, dilated, with wooly hair, keratoderma, and tooth agenesis",nonspecific cardiomyopathy,False,True,False,True,True,False,False,True,True
CM_1012347,1012347,TPM1,Dilated cardiomyopathy 1Y,DCM,False,False,False,False,True,False,False,False,False
CM_1012348,1012348,TTN,Dilated cardiomyopathy 1G,DCM,False,False,False,False,True,False,False,False,False
CM_1012349,1012349,TTN,Dilated cardiomyopathy 1G,DCM,False,False,False,False,True,True,True,True,False
CM_1012350,1012350,TTN,Dilated cardiomyopathy 1G,DCM,False,False,False,False,True,False,False,False,False
CM_1012351,1012351,TTN,Dilated cardiomyopathy 1G,DCM,False,False,False,False,True,False,False,False,False
CM_1012352,1012352,TTN,Dilated cardiomyopathy 1G,DCM,False,False,False,False,True,False,False,False,False
CM_1012353,1012353,TTN,Dilated cardiomyopathy 1G,DCM,False,False,False,False,True,False,False,False,False
CM_1012354,1012354,TTN,Dilated cardiomyopathy 1G,DCM,False,False,False,False,True,False,False,False,False
CM_1012355,1012355,TTN,Dilated cardiomyopathy 1G,DCM,False,False,False,False,True,False,False,False,False
CM_1012357,1012357,TTN,Dilated cardiomyopathy 1G,DCM,False,False,False,False,True,False,False,False,False
CM_1012358,1012358,TTN,Dilated cardiomyopathy 1G,DCM,False,False,False,False,True,False,False,False,False
CM_1013320,1013320,MYBPC3,not provided,other/unknown,False,False,False,False,True,False,False,False,False
CM_1013436,1013436,TTN,not provided,other/unknown,False,False,False,False,True,False,False,False,False
CM_1025130,1025130,FLNC,Myofibrillar myopathy 5;Hypertrophic cardiomyopathy 26;Distal myopathy with posterior leg and anterior hand involvement;not provided,HCM,False,True,False,True,True,False,False,True,True
CM_1027653,1027653,MYBPC3,Hypertrophic cardiomyopathy,HCM,False,False,False,False,True,False,False,False,False
CM_1027654,1027654,MYBPC3,Hypertrophic cardiomyopathy,HCM,False,False,False,False,True,False,False,False,False
CM_1027658,1027658,MYH7,Primary dilated cardiomyopathy;Hypertrophic cardiomyopathy,HCM,False,True,True,False,False,True,True,True,True
CM_1027660,1027660,FLNC,Restrictive cardiomyopathy,RCM,False,False,False,False,True,False,False,False,False
CM_1029072,1029072,TTN,Dilated cardiomyopathy 1G,DCM,False,False,False,False,True,False,False,False,False
CM_1029099,1029099,TTN,Dilated cardiomyopathy 1G,DCM,False,False,False,False,True,False,False,False,False
CM_1029101,1029101,TTN,Dilated cardiomyopathy 1G;Autosomal recessive limb-girdle muscular dystrophy type 2J,DCM,False,True,False,True,True,True,True,True,True
CM_1030165,1030165,TTN,Early-onset myopathy with fatal cardiomyopathy;Cardiovascular phenotype;Dilated cardiomyopathy 1G;Autosomal recessive limb-girdle muscular dystrophy type 2J,DCM,False,True,True,False,False,False,True,True,True
CM_1030169,1030169,TTN,Autosomal recessive limb-girdle muscular dystrophy type 2J;Dilated cardiomyopathy 1G,DCM,False,True,True,False,False,True,True,True,True
CM_1031603,1031603,TTN,Dilated cardiomyopathy 1G;Autosomal recessive limb-girdle muscular dystrophy type 2J;Cardiovascular phenotype,DCM,False,False,False,False,True,False,True,False,False
CM_1034083,1034083,DSP,Arrhythmogenic cardiomyopathy with wooly hair and keratoderma;Arrhythmogenic right ventricular dysplasia 8,ARVC/ACM,False,True,False,True,True,True,True,True,True
CM_1048771,1048771,TTN,"Myopathy, myofibrillar, 9, with early respiratory failure;not provided",other/unknown,False,False,False,False,True,False,False,False,False
CM_1061173,1061173,TTN,Dilated cardiomyopathy 1G;Autosomal recessive limb-girdle muscular dystrophy type 2J;Cardiovascular phenotype;Primary dilated cardiomyopathy;not provided,DCM,False,True,False,True,True,False,True,True,True
CM_1064523,1064523,TTN,Early-onset myopathy with fatal cardiomyopathy,nonspecific cardiomyopathy,False,False,False,False,True,False,False,False,False
CM_1065188,1065188,TTN,Primary dilated cardiomyopathy,DCM,False,False,False,False,True,False,False,False,False
CM_1065189,1065189,TTN,Primary dilated cardiomyopathy,DCM,False,False,False,False,True,False,False,False,False
CM_1065190,1065190,TTN,Primary dilated cardiomyopathy;not provided;TTN-related myopathy,DCM,False,True,False,True,True,True,True,True,True
